id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W1037,1,Doctor,1,H910,5,1,H910,5,1,H564,3,-1,H564,3,-1,H910,5,1,H910,5,1,1,1,0,0,0,0
W1418,1,Doctor,2,H417,14,7,H417,14,7,H965,3,1,H965,3,1,H417,14,7,H417,14,7,1,1,0,0,0,0
W442,1,Doctor,3,H1227,5,3,H1473,6,4,H978,2,1,H978,2,1,H1227,5,3,H1227,5,3,0,0,0,0,0,0
W1106,1,Doctor,4,H1315,14,2,H1315,14,2,H105,1,-1,H105,1,-1,H1315,14,2,H1315,14,2,0,0,0,0,0,0
W525,1,Doctor,5,H1435,3,1,H629,15,2,H1031,1,-1,H1031,1,-1,H1435,3,1,H1435,3,1,0,0,0,0,0,0
W1332,1,Doctor,6,H587,15,2,H681,27,6,H1697,4,-1,H1697,4,-1,H587,15,2,H587,15,2,0,0,0,0,0,0
W1290,1,Doctor,7,H1273,24,5,H1193,43,-1,H441,6,-1,H441,6,-1,H1273,24,5,H1273,24,5,0,0,0,0,0,0
W643,1,Doctor,8,H543,9,2,H1598,37,7,H659,6,1,H659,6,1,H543,9,2,H543,9,2,0,0,0,0,0,0
W1392,1,Doctor,9,H104,1,1,H104,1,1,H104,1,1,H104,1,1,H104,1,1,H104,1,1,0,0,0,0,0,0
W555,1,Doctor,10,H1647,8,2,H1616,48,-1,H1483,3,-1,H1483,3,-1,H1647,8,2,H1647,8,2,0,0,0,0,0,0
W581,1,Doctor,11,H325,1,1,H325,1,1,H325,1,1,H325,1,1,H325,1,1,H325,1,1,0,0,0,0,0,0
W631,1,Doctor,12,H1637,2,1,H494,76,-1,H56,1,-1,H56,1,-1,H1637,2,1,H1637,2,1,0,0,0,0,0,0
W253,1,Doctor,13,H1325,2,1,H497,33,4,H1325,2,1,H1325,2,1,H988,9,2,H988,9,2,0,0,0,0,0,0
W530,1,Doctor,14,H945,5,-1,H1273,19,6,H451,1,-1,H451,1,-1,H570,8,1,H570,8,1,0,0,0,0,0,0
W1056,1,Doctor,15,H1450,2,1,H1450,2,1,H1450,2,1,H1450,2,1,H1450,2,1,H1450,2,1,0,0,0,0,0,0
W1668,1,Doctor,16,H798,6,1,H798,6,1,H680,3,-1,H680,3,-1,H798,6,1,H798,6,1,0,0,0,0,0,0
W1047,1,Doctor,17,H725,11,2,H455,35,8,H1135,5,-1,H1135,5,-1,H925,30,6,H925,30,6,2,2,0,0,0,0
W1245,1,Doctor,18,H868,21,1,H868,21,1,H892,8,-1,H892,8,-1,H868,21,1,H868,21,1,1,1,0,0,0,0
W1099,1,Doctor,19,H800,3,1,H800,3,1,H800,3,1,H800,3,1,H800,3,1,H800,3,1,0,0,0,0,0,0
W147,1,Doctor,20,H1541,5,1,H85,44,-1,H1541,5,1,H1541,5,1,H1347,11,2,H1347,11,2,1,1,0,0,0,0
W983,1,Doctor,21,H1239,1,1,H1198,18,5,H1239,1,1,H1239,1,1,H928,9,2,H928,9,2,0,0,0,0,0,0
W384,1,Doctor,22,H134,11,3,H134,11,3,H250,2,1,H250,2,1,H134,11,3,H134,11,3,0,0,0,0,0,0
W1551,1,Doctor,23,H1065,17,6,H184,19,8,H442,4,-1,H442,4,-1,H184,19,8,H184,19,8,0,0,0,0,0,0
W213,1,Doctor,24,H198,1,1,H1367,11,3,H198,1,1,H198,1,1,H198,1,1,H198,1,1,0,0,0,0,0,0
W381,1,Doctor,25,H1329,21,1,H1329,21,1,H437,3,-1,H437,3,-1,H1329,21,1,H1329,21,1,1,1,0,0,0,0
W593,1,Doctor,26,H530,4,1,H253,15,3,H1185,1,-1,H1185,1,-1,H253,15,3,H253,15,3,0,0,0,0,0,0
