id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W1477,1,Doctor,1,H211,25,2,H821,365,-1,Unmatched,0,0,Unmatched,0,0,H211,25,2,H211,25,2,0,0,838,838,0,0
W520,1,Doctor,2,H200,42,3,H1095,72,4,H1017,1,-1,H1017,1,-1,H200,42,3,H200,42,3,1,1,0,0,0,0
W986,1,Doctor,3,H126,17,1,H1303,239,-1,H1196,5,-1,H1196,5,-1,H126,17,1,H126,17,1,1,1,0,0,0,0
W116,1,Doctor,4,H1292,16,1,H65,132,-1,H1136,2,-1,H1136,2,-1,H1292,16,1,H1292,16,1,1,1,0,0,0,0
W331,1,Doctor,5,H1280,33,2,H1486,291,-1,H30,3,-1,H30,3,-1,Unmatched,0,0,Unmatched,0,0,146,146,0,0,0,0
W1305,1,Doctor,6,H596,36,3,H1026,51,4,H1052,1,-1,H1052,1,-1,H830,21,2,H830,21,2,2,2,0,0,0,0
W304,1,Doctor,7,H293,87,-1,H721,231,-1,H254,4,-1,H254,4,-1,Unmatched,0,0,Unmatched,0,0,142,142,0,0,0,0
W42,1,Doctor,8,H1116,41,2,H1116,41,2,H269,2,1,H269,2,1,H1116,41,2,H1116,41,2,0,0,0,0,0,0
W1008,1,Doctor,9,H417,113,3,H417,113,3,H1355,2,-1,H1355,2,-1,H417,113,3,H417,113,3,7,7,0,0,0,0
W1285,1,Doctor,10,H281,20,1,H1430,98,5,Unmatched,0,0,Unmatched,0,0,H281,20,1,H281,20,1,1,1,821,821,0,0
W1433,1,Doctor,11,H1529,13,1,H1625,27,2,H754,2,-1,H754,2,-1,H1529,13,1,H1529,13,1,0,0,0,0,0,0
W1357,1,Doctor,12,H1367,5,1,H278,113,-1,H179,1,-1,H179,1,-1,H1367,5,1,H1367,5,1,0,0,0,0,0,0
W1602,1,Doctor,13,H889,66,2,H1013,209,-1,H1678,2,-1,H1678,2,-1,H889,66,2,H889,66,2,4,4,0,0,0,0
W1563,1,Doctor,14,H833,26,2,H439,208,-1,H891,3,-1,H891,3,-1,H833,26,2,H833,26,2,1,1,0,0,0,0
W1278,1,Doctor,15,H163,22,-1,H1616,431,-1,H224,2,-1,H224,2,-1,Unmatched,0,0,Unmatched,0,0,139,139,0,0,0,0
W1245,1,Doctor,16,H471,80,1,H980,82,2,H9,1,-1,H9,1,-1,H471,80,1,H471,80,1,3,3,0,0,0,0
W201,1,Doctor,17,H304,6,1,H304,6,1,H332,5,-1,H332,5,-1,H304,6,1,H304,6,1,1,1,0,0,0,0
W1206,1,Doctor,18,H715,5,1,H715,5,1,H1060,1,-1,H1060,1,-1,H715,5,1,H715,5,1,0,0,0,0,0,0
W885,1,Doctor,19,H1094,49,2,H175,255,-1,H1652,1,-1,H1652,1,-1,H1094,49,2,H1094,49,2,2,2,0,0,0,0
W959,1,Doctor,20,H1515,7,2,H47,184,-1,H1656,4,-1,H1656,4,-1,H1515,7,2,H1515,7,2,1,1,0,0,0,0
W420,1,Doctor,21,H1474,48,2,H914,671,-1,Unmatched,0,0,Unmatched,0,0,H1474,48,2,H1474,48,2,3,3,819,819,0,0
W716,1,Doctor,22,H501,2,-1,H287,156,-1,H501,2,-1,H501,2,-1,H1075,31,1,H1075,31,1,3,3,0,0,0,0
W960,1,Doctor,23,H1424,16,1,H1424,16,1,Unmatched,0,0,Unmatched,0,0,H1424,16,1,H1424,16,1,1,1,803,803,0,0
W1001,1,Doctor,24,H804,62,3,H323,63,4,H295,2,-1,H295,2,-1,H804,62,3,H804,62,3,3,3,0,0,0,0
W1585,1,Doctor,25,H1049,9,1,H1367,553,-1,H706,5,-1,H706,5,-1,H1049,9,1,H1049,9,1,1,1,0,0,0,0
