id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W180,1,Doctor,1,H102,1,1,H574,2,2,H102,1,1,H102,1,1,H102,1,1,H102,1,1,0,0,0,0,0,0
W1065,1,Doctor,2,H246,3,1,H1071,5,2,H246,3,1,H246,3,1,H246,3,1,H246,3,1,0,0,0,0,0,0
W1044,1,Doctor,3,H796,1,1,H796,1,1,H796,1,1,H796,1,1,H796,1,1,H796,1,1,0,0,0,0,0,0
W1609,1,Doctor,4,H1278,1,1,H1278,1,1,H1278,1,1,H1278,1,1,H1278,1,1,H1278,1,1,0,0,0,0,0,0
W1189,1,Doctor,5,H580,3,1,H580,3,1,H580,3,1,H580,3,1,H580,3,1,H580,3,1,0,0,0,0,0,0
W721,1,Doctor,6,H188,3,2,H338,6,3,H276,1,-1,H276,1,-1,H338,6,3,H338,6,3,0,0,0,0,0,0
W48,1,Doctor,7,H103,5,1,H255,13,4,H1196,2,-1,H1196,2,-1,H103,5,1,H103,5,1,0,0,0,0,0,0
W275,1,Doctor,8,H289,11,2,H289,11,2,H527,2,-1,H527,2,-1,H289,11,2,H289,11,2,0,0,0,0,0,0
W1558,1,Doctor,9,H1182,10,2,H1182,10,2,H1182,10,2,H1182,10,2,H1182,10,2,H1182,10,2,1,1,0,0,0,0
W527,1,Doctor,10,H306,13,3,H306,13,3,H1643,3,1,H1643,3,1,H306,13,3,H306,13,3,0,0,0,0,0,0
