id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W827,1,Doctor,1,H175,62,-1,H1638,257,-1,H1667,3,-1,H1667,3,-1,Unmatched,0,0,Unmatched,0,0,161,161,0,0,0,0
W92,1,Doctor,2,H8,36,3,H613,350,-1,H546,4,-1,H546,4,-1,H8,36,3,H8,36,3,2,2,0,0,0,0
W1264,1,Doctor,3,H966,61,2,H966,61,2,H629,3,-1,H629,3,-1,H527,37,1,H527,37,1,4,4,0,0,0,0
W969,1,Doctor,4,H472,17,2,H1102,126,-1,H1196,5,-1,H1196,5,-1,H472,17,2,H472,17,2,0,0,0,0,0,0
W420,1,Doctor,5,H1122,22,-1,H435,268,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,166,166,849,849,0,0
W1656,1,Doctor,6,H735,9,3,H1627,421,-1,H114,3,1,H114,3,1,H735,9,3,H735,9,3,0,0,0,0,0,0
W527,1,Doctor,7,H536,158,-1,H536,158,-1,H568,3,-1,H568,3,-1,Unmatched,0,0,Unmatched,0,0,163,163,0,0,0,0
W933,1,Doctor,8,H260,16,2,H124,17,3,H857,5,-1,H857,5,-1,H124,17,3,H124,17,3,0,0,0,0,0,0
W870,1,Doctor,9,H533,60,2,H59,215,-1,H391,5,-1,H391,5,-1,H1185,118,4,H1185,118,4,8,8,0,0,0,0
W1355,1,Doctor,10,H1549,17,1,H316,355,-1,H735,3,-1,H735,3,-1,H796,29,2,H796,29,2,1,1,0,0,0,0
W215,1,Doctor,11,H1072,21,-1,H789,27,1,Unmatched,0,0,Unmatched,0,0,H789,27,1,H789,27,1,3,3,837,837,0,0
W1700,1,Doctor,12,H466,34,3,H466,34,3,Unmatched,0,0,Unmatched,0,0,H466,34,3,H466,34,3,1,1,835,835,0,0
W905,1,Doctor,13,H640,35,1,H512,201,-1,Unmatched,0,0,Unmatched,0,0,H640,35,1,H640,35,1,1,1,825,825,0,0
W1456,1,Doctor,14,H311,28,3,H486,448,-1,H251,1,-1,H251,1,-1,H311,28,3,H311,28,3,3,3,0,0,0,0
W311,1,Doctor,15,H664,16,1,H1298,71,-1,Unmatched,0,0,Unmatched,0,0,H664,16,1,H664,16,1,0,0,821,821,0,0
W1249,1,Doctor,16,H1538,28,3,H768,105,-1,H1600,3,1,H1600,3,1,H1538,28,3,H1538,28,3,1,1,0,0,0,0
W1464,1,Doctor,17,H1047,143,5,H1047,143,5,H511,5,-1,H511,5,-1,H1047,143,5,H1047,143,5,7,7,0,0,0,0
W1531,1,Doctor,18,H1515,51,5,H1515,51,5,Unmatched,0,0,Unmatched,0,0,H1515,51,5,H1515,51,5,2,2,863,863,0,0
W1393,1,Doctor,19,H921,45,3,H921,45,3,H987,1,1,H987,1,1,H921,45,3,H921,45,3,2,2,0,0,0,0
W26,1,Doctor,20,H1564,35,3,H711,70,-1,H1268,1,-1,H1268,1,-1,Unmatched,0,0,Unmatched,0,0,164,164,0,0,0,0
W1526,1,Doctor,21,H659,41,1,H1305,258,-1,H414,5,-1,H414,5,-1,H659,41,1,H659,41,1,3,3,0,0,0,0
W1493,1,Doctor,22,H1149,16,1,H1339,103,5,H431,1,-1,H431,1,-1,H1149,16,1,H1149,16,1,1,1,0,0,0,0
W1125,1,Doctor,23,H1176,88,-1,H800,391,-1,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,167,167,837,837,0,0
W826,1,Doctor,24,H285,10,1,H1489,150,-1,H1060,3,-1,H1060,3,-1,Unmatched,0,0,Unmatched,0,0,166,166,0,0,0,0
W1643,1,Doctor,25,H1331,7,1,H1126,139,-1,Unmatched,0,0,Unmatched,0,0,H1331,7,1,H1331,7,1,1,1,832,832,0,0
W1142,1,Doctor,26,H23,24,1,H23,24,1,H1689,3,-1,H1689,3,-1,H23,24,1,H23,24,1,1,1,0,0,0,0
W1419,1,Doctor,27,H1481,22,2,H1510,211,-1,H785,3,-1,H785,3,-1,H1481,22,2,H1481,22,2,0,0,0,0,0,0
W687,1,Doctor,28,H575,160,4,H1416,303,-1,H681,4,-1,H681,4,-1,H575,160,4,H575,160,4,8,8,0,0,0,0
W283,1,Doctor,29,H1527,25,1,H375,143,-1,H146,5,-1,H146,5,-1,H1527,25,1,H1527,25,1,3,3,0,0,0,0
W754,1,Doctor,30,H1116,11,1,H1145,204,-1,Unmatched,0,0,Unmatched,0,0,H421,96,4,H421,96,4,2,2,835,835,0,0
W678,1,Doctor,31,H794,7,1,H794,7,1,Unmatched,0,0,Unmatched,0,0,H794,7,1,H794,7,1,0,0,835,835,0,0
W134,1,Doctor,32,H850,30,2,H433,106,-1,H245,1,-1,H245,1,-1,H850,30,2,H850,30,2,1,1,0,0,0,0
W1252,1,Doctor,33,H153,34,2,H1207,107,-1,Unmatched,0,0,Unmatched,0,0,H365,47,3,H365,47,3,3,3,823,823,0,0
W1086,1,Doctor,34,H75,41,1,H75,41,1,Unmatched,0,0,Unmatched,0,0,H75,41,1,H75,41,1,1,1,830,830,0,0
W438,1,Doctor,35,H859,13,1,H859,13,1,H322,1,-1,H322,1,-1,H859,13,1,H859,13,1,0,0,0,0,0,0
W1470,1,Doctor,36,H723,23,2,H532,275,-1,Unmatched,0,0,Unmatched,0,0,H723,23,2,H723,23,2,0,0,816,816,0,0
W1291,1,Doctor,37,H1605,75,-1,H1326,88,-1,H186,3,-1,H186,3,-1,Unmatched,0,0,Unmatched,0,0,165,165,0,0,0,0
W985,1,Doctor,38,H326,20,2,H1454,27,3,Unmatched,0,0,Unmatched,0,0,H326,20,2,H326,20,2,1,1,845,845,0,0
W1499,1,Doctor,39,H598,33,1,H598,33,1,H646,3,-1,H646,3,-1,H598,33,1,H598,33,1,6,6,0,0,0,0
W910,1,Doctor,40,H441,8,1,H886,9,2,H1213,5,-1,H1213,5,-1,H441,8,1,H441,8,1,0,0,0,0,0,0
W766,1,Doctor,41,H1230,1,-1,H950,129,3,H1230,1,-1,H1230,1,-1,H950,129,3,H950,129,3,8,8,0,0,0,0
W1692,1,Doctor,42,H1565,12,1,H1565,12,1,Unmatched,0,0,Unmatched,0,0,H1565,12,1,H1565,12,1,0,0,826,826,0,0
W974,1,Doctor,43,H1531,24,1,H1531,24,1,Unmatched,0,0,Unmatched,0,0,H1531,24,1,H1531,24,1,0,0,858,858,0,0
W855,1,Doctor,44,H588,75,3,H388,427,-1,H1635,2,-1,H1635,2,-1,H578,31,1,H578,31,1,0,0,0,0,0,0
W1557,1,Doctor,45,H869,69,3,H869,69,3,Unmatched,0,0,Unmatched,0,0,H869,69,3,H869,69,3,2,2,827,827,0,0
W1579,1,Doctor,46,H470,36,2,H1544,445,-1,H1020,3,-1,H1020,3,-1,H470,36,2,H470,36,2,2,2,0,0,0,0
W1048,1,Doctor,47,H284,17,2,H1075,263,-1,H1047,5,-1,H1047,5,-1,H1687,32,5,H1687,32,5,1,1,0,0,0,0
W1043,1,Doctor,48,H315,98,-1,H345,460,-1,H9,5,-1,H9,5,-1,Unmatched,0,0,Unmatched,0,0,163,163,0,0,0,0
W1537,1,Doctor,49,H1083,73,3,H278,310,-1,H244,5,1,H244,5,1,H1083,73,3,H1083,73,3,3,3,0,0,0,0
W1315,1,Doctor,50,H1639,51,1,H1639,51,1,H436,1,-1,H436,1,-1,H1639,51,1,H1639,51,1,2,2,0,0,0,0
W555,1,Doctor,51,H509,16,2,H1187,127,-1,H912,5,1,H912,5,1,H1551,30,4,H1551,30,4,1,1,0,0,0,0
W1106,1,Doctor,52,H689,7,3,H621,305,-1,H1242,1,1,H1242,1,1,H1242,1,1,H1242,1,1,0,0,0,0,0,0
W1049,1,Doctor,53,H1056,30,-1,H870,375,-1,H957,3,-1,H957,3,-1,H1373,41,2,H1373,41,2,4,4,0,0,0,0
W952,1,Doctor,54,H585,64,2,H585,64,2,H958,2,-1,H958,2,-1,H585,64,2,H585,64,2,6,6,0,0,0,0
W158,1,Doctor,55,H1498,49,1,H1461,71,-1,Unmatched,0,0,Unmatched,0,0,H823,55,3,H823,55,3,4,4,824,824,0,0
W167,1,Doctor,56,H1142,4,1,H1020,198,-1,H770,2,-1,H770,2,-1,H1142,4,1,H1142,4,1,1,1,0,0,0,0
W380,1,Doctor,57,H746,51,1,H1022,403,-1,H1237,1,-1,H1237,1,-1,H746,51,1,H746,51,1,3,3,0,0,0,0
W103,1,Doctor,58,H902,50,3,H1479,178,-1,H100,1,1,H100,1,1,H100,1,1,H100,1,1,0,0,0,0,0,0
W250,1,Doctor,59,H895,9,1,H1557,16,2,H899,2,-1,H899,2,-1,H895,9,1,H895,9,1,1,1,0,0,0,0
W1062,1,Doctor,60,H333,67,3,H1331,408,-1,H944,2,-1,H944,2,-1,H333,67,3,H333,67,3,1,1,0,0,0,0
W967,1,Doctor,61,H13,27,2,H13,27,2,H728,3,-1,H728,3,-1,H13,27,2,H13,27,2,1,1,0,0,0,0
W1011,1,Doctor,62,H896,2,1,H896,2,1,H222,1,-1,H222,1,-1,H896,2,1,H896,2,1,0,0,0,0,0,0
W1337,1,Doctor,63,H1003,7,1,H816,162,-1,Unmatched,0,0,Unmatched,0,0,H1003,7,1,H1003,7,1,1,1,816,816,0,0
W1213,1,Doctor,64,H457,65,2,H953,246,-1,H1158,3,1,H1158,3,1,H457,65,2,H457,65,2,5,5,0,0,0,0
W1023,1,Doctor,65,H930,6,1,H930,6,1,H829,3,-1,H829,3,-1,H930,6,1,H930,6,1,0,0,0,0,0,0
W1423,1,Doctor,66,H1478,17,-1,H778,267,-1,H262,5,1,H262,5,1,H1266,72,5,H1266,72,5,2,2,0,0,0,0
W1689,1,Doctor,67,H1469,112,5,H267,149,-1,Unmatched,0,0,Unmatched,0,0,H474,59,3,H474,59,3,4,4,828,828,0,0
W222,1,Doctor,68,H1475,22,2,H209,226,-1,H433,2,-1,H433,2,-1,H1302,25,3,H1302,25,3,1,1,0,0,0,0
W1080,1,Doctor,69,H1548,22,3,H897,336,-1,H824,5,-1,H824,5,-1,H1548,22,3,H1548,22,3,0,0,0,0,0,0
W470,1,Doctor,70,H1553,28,2,H1553,28,2,H1631,3,-1,H1631,3,-1,H1553,28,2,H1553,28,2,2,2,0,0,0,0
