id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W480,1,Doctor,1,H106,17,5,H1286,129,-1,H269,4,-1,H269,4,-1,H106,17,5,H106,17,5,0,0,0,0,0,0
W501,1,Doctor,2,H507,6,3,H1616,58,-1,H870,1,-1,H870,1,-1,H1209,3,2,H1209,3,2,0,0,0,0,0,0
W516,1,Doctor,3,H229,11,2,H213,146,-1,H374,5,-1,H374,5,-1,H229,11,2,H229,11,2,0,0,0,0,0,0
W1459,1,Doctor,4,H523,4,1,H436,96,-1,H523,4,1,H523,4,1,H523,4,1,H523,4,1,0,0,0,0,0,0
W663,1,Doctor,5,H262,11,4,H229,87,-1,H373,4,-1,H373,4,-1,H262,11,4,H262,11,4,0,0,0,0,0,0
W773,1,Doctor,6,H542,18,4,H123,90,-1,H394,1,-1,H394,1,-1,H918,16,3,H918,16,3,2,2,0,0,0,0
W1447,1,Doctor,7,H987,14,5,H273,176,-1,H1523,3,1,H1523,3,1,H987,14,5,H987,14,5,0,0,0,0,0,0
W1623,1,Doctor,8,H569,6,-1,H749,186,-1,H1347,4,-1,H1347,4,-1,H40,14,3,H40,14,3,2,2,0,0,0,0
W1014,1,Doctor,9,H552,1,1,H185,58,-1,H552,1,1,H552,1,1,H552,1,1,H552,1,1,0,0,0,0,0,0
W721,1,Doctor,10,H458,12,2,H458,12,2,H1280,1,-1,H1280,1,-1,H458,12,2,H458,12,2,0,0,0,0,0,0
W1493,1,Doctor,11,H1137,1,1,H754,41,-1,H1137,1,1,H1137,1,1,H1137,1,1,H1137,1,1,0,0,0,0,0,0
W395,1,Doctor,12,H517,14,3,H452,75,-1,H1274,1,-1,H1274,1,-1,H517,14,3,H517,14,3,1,1,0,0,0,0
W249,1,Doctor,13,H681,12,4,H681,12,4,H170,3,1,H170,3,1,H681,12,4,H681,12,4,0,0,0,0,0,0
W320,1,Doctor,14,H221,3,2,H1554,6,3,H887,1,-1,H887,1,-1,H221,3,2,H221,3,2,0,0,0,0,0,0
W289,1,Doctor,15,H1663,16,5,H445,187,-1,H241,5,2,H241,5,2,H1663,16,5,H1663,16,5,1,1,0,0,0,0
W1076,1,Doctor,16,H83,6,1,H89,41,-1,Unmatched,0,0,Unmatched,0,0,H83,6,1,H83,6,1,0,0,675,675,0,0
W1109,1,Doctor,17,H348,14,4,H1530,66,-1,H1020,1,1,H1020,1,1,H899,8,3,H899,8,3,1,1,0,0,0,0
W1020,1,Doctor,18,H1116,2,1,H292,354,-1,H697,1,-1,H697,1,-1,H1116,2,1,H1116,2,1,0,0,0,0,0,0
W618,1,Doctor,19,H869,1,1,H869,1,1,H869,1,1,H869,1,1,H869,1,1,H869,1,1,0,0,0,0,0,0
W184,1,Doctor,20,H112,3,-1,H18,64,-1,H112,3,-1,H112,3,-1,Unmatched,0,0,Unmatched,0,0,283,283,0,0,0,0
W1117,1,Doctor,21,H1307,29,-1,H690,38,-1,H780,1,-1,H780,1,-1,Unmatched,0,0,Unmatched,0,0,280,280,0,0,0,0
W648,1,Doctor,22,H1047,27,-1,H873,370,-1,H1174,3,-1,H1174,3,-1,H1335,10,2,H1335,10,2,1,1,0,0,0,0
W987,1,Doctor,23,H1133,13,-1,H204,149,-1,H1239,2,-1,H1239,2,-1,H136,26,3,H136,26,3,3,3,0,0,0,0
W222,1,Doctor,24,H688,6,1,H1642,159,-1,H1385,2,-1,H1385,2,-1,H688,6,1,H688,6,1,0,0,0,0,0,0
W1058,1,Doctor,25,H1053,14,5,H386,172,-1,H332,3,1,H332,3,1,H1053,14,5,H1053,14,5,1,1,0,0,0,0
W1700,1,Doctor,26,H1132,20,-1,H1500,27,-1,H726,1,1,H726,1,1,Unmatched,0,0,Unmatched,0,0,283,283,0,0,0,0
W1341,1,Doctor,27,H81,5,1,H1611,118,-1,H989,1,-1,H989,1,-1,H81,5,1,H81,5,1,0,0,0,0,0,0
W1674,1,Doctor,28,H10,5,1,H402,188,-1,H10,5,1,H10,5,1,H10,5,1,H10,5,1,1,1,0,0,0,0
W1345,1,Doctor,29,H597,1,1,H1062,318,-1,H597,1,1,H597,1,1,H597,1,1,H597,1,1,0,0,0,0,0,0
W1349,1,Doctor,30,H443,6,2,H443,6,2,Unmatched,0,0,Unmatched,0,0,H443,6,2,H443,6,2,0,0,683,683,0,0
W949,1,Doctor,31,H723,3,1,H221,130,-1,H723,3,1,H723,3,1,H723,3,1,H723,3,1,0,0,0,0,0,0
W699,1,Doctor,32,H548,4,2,H548,4,2,H215,1,1,H215,1,1,H548,4,2,H548,4,2,2,2,0,0,0,0
W1188,1,Doctor,33,H365,32,5,H1056,109,-1,H688,1,-1,H688,1,-1,H365,32,5,H365,32,5,1,1,0,0,0,0
W791,1,Doctor,34,H96,9,3,H1106,28,-1,H114,4,1,H114,4,1,H96,9,3,H96,9,3,1,1,0,0,0,0
W1344,1,Doctor,35,H35,10,4,H735,87,-1,H58,4,2,H58,4,2,H35,10,4,H35,10,4,0,0,0,0,0,0
W1604,1,Doctor,36,H1341,19,5,H1468,229,-1,H643,3,1,H643,3,1,H690,8,3,H690,8,3,0,0,0,0,0,0
W1006,1,Doctor,37,H1339,4,1,H209,34,-1,H1339,4,1,H1339,4,1,H1339,4,1,H1339,4,1,0,0,0,0,0,0
W829,1,Doctor,38,H1054,4,2,H1115,129,-1,H1054,4,2,H1054,4,2,H1054,4,2,H1054,4,2,0,0,0,0,0,0
