id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W66,1,Doctor,1,H163,1,1,H163,1,1,H163,1,1,H163,1,1,H163,1,1,H163,1,1,0,0,0,0,0,0
W159,1,Doctor,2,H13,1,1,H13,1,1,H13,1,1,H13,1,1,H13,1,1,H13,1,1,0,0,0,0,0,0
W169,1,Doctor,3,H110,1,1,H110,1,1,H110,1,1,H110,1,1,H110,1,1,H110,1,1,0,0,0,0,0,0
W63,1,Doctor,4,H29,1,1,H29,1,1,H29,1,1,H29,1,1,H29,1,1,H29,1,1,0,0,0,0,0,0
W8,1,Doctor,5,H160,1,1,H160,1,1,H160,1,1,H160,1,1,H160,1,1,H160,1,1,0,0,0,0,0,0
W161,1,Doctor,6,H143,2,2,H143,2,2,H143,2,2,H143,2,2,H143,2,2,H143,2,2,0,0,0,0,0,0
W165,1,Doctor,7,H125,1,1,H125,1,1,H125,1,1,H125,1,1,H125,1,1,H125,1,1,0,0,0,0,0,0
W181,1,Doctor,8,H56,2,2,H56,2,2,H56,2,2,H56,2,2,H56,2,2,H56,2,2,0,0,0,0,0,0
W172,1,Doctor,9,H162,2,2,H162,2,2,H162,2,2,H162,2,2,H162,2,2,H162,2,2,0,0,0,0,0,0
W70,1,Doctor,10,H23,2,1,H23,2,1,H23,2,1,H23,2,1,H23,2,1,H23,2,1,0,0,0,0,0,0
