id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)"
W32,1,Doctor,1,2,2
W155,1,Doctor,2,3,3
W268,1,Doctor,3,3,3
W76,1,Doctor,4,3,3
W20,1,Doctor,5,1,1
W474,1,Doctor,6,4,3
W170,1,Doctor,7,4,3
W319,1,Doctor,8,2,1
W158,1,Doctor,9,3,2
W151,1,Doctor,10,6,3
W93,1,Doctor,11,2,1
W365,1,Doctor,12,4,1
W462,1,Doctor,13,8,2
W239,1,Doctor,14,8,2
W56,1,Doctor,15,6,1
W167,1,Doctor,16,4,1
W169,1,Doctor,17,4,1
W113,1,Doctor,18,7,1
W378,1,Doctor,19,9,3
W205,1,Doctor,20,0,0
W12,1,Doctor,21,3,1
W352,1,Doctor,22,13,4
W423,1,Doctor,23,9,1
W5,1,Doctor,24,14,5
W369,1,Doctor,25,6,1
W314,1,Doctor,26,12,3
W445,1,Doctor,27,10,3
W375,1,Doctor,28,4,1
W490,1,Doctor,29,15,2
W272,1,Doctor,30,9,2
W463,1,Doctor,31,8,1
W87,1,Doctor,32,7,1
W232,1,Doctor,33,0,0
W29,1,Doctor,34,12,2
W332,1,Doctor,35,13,2
W216,1,Doctor,36,17,4
W353,1,Doctor,37,12,3
W226,1,Doctor,38,16,3
W28,1,Doctor,39,14,4
W440,1,Doctor,40,13,2
W116,1,Doctor,41,4,1
W438,1,Doctor,42,9,1
W389,1,Doctor,43,9,1
W488,1,Doctor,44,16,4
W199,1,Doctor,45,13,1
W479,1,Doctor,46,13,1
W444,1,Doctor,47,12,2
W411,1,Doctor,48,21,5
W192,1,Doctor,49,20,2
W398,1,Doctor,50,27,5
W298,1,Doctor,51,0,0
W334,1,Doctor,52,17,2
W118,1,Doctor,53,26,5
W356,1,Doctor,54,9,1
W187,1,Doctor,55,10,1
W66,1,Doctor,56,23,1
W478,1,Doctor,57,9,2
W225,1,Doctor,58,21,3
W152,1,Doctor,59,25,1
W457,1,Doctor,60,20,4
W92,1,Doctor,61,0,0
W140,1,Doctor,62,15,2
W257,1,Doctor,63,21,1
W347,1,Doctor,64,14,1
W134,1,Doctor,65,15,2
W321,1,Doctor,66,29,5
W247,1,Doctor,67,22,3
W150,1,Doctor,68,12,1
W163,1,Doctor,69,31,3
W42,1,Doctor,70,38,3
W249,1,Doctor,71,26,2
W90,1,Doctor,72,35,1
W492,1,Doctor,73,20,1
W201,1,Doctor,74,13,1
W335,1,Doctor,75,17,1
W345,1,Doctor,76,28,1
W38,1,Doctor,77,30,2
W392,1,Doctor,78,22,3
W494,1,Doctor,79,0,0
W481,1,Doctor,80,14,1
W380,1,Doctor,81,14,1
W139,1,Doctor,82,37,4
W464,1,Doctor,83,16,1
W361,1,Doctor,84,47,2
