id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)"
W375,1,Doctor,1,1,1
W488,1,Doctor,2,4,4
W345,1,Doctor,3,1,1
W88,1,Doctor,4,0,0
W376,1,Doctor,5,2,2
W482,1,Doctor,6,1,1
W260,1,Doctor,7,1,1
W158,1,Doctor,8,1,1
W467,1,Doctor,9,1,1
W377,1,Doctor,10,2,2
W85,1,Doctor,11,3,3
W76,1,Doctor,12,1,1
W39,1,Doctor,13,1,1
W366,1,Doctor,14,2,2
W91,1,Doctor,15,1,1
W84,1,Doctor,16,1,1
W347,1,Doctor,17,4,4
W199,1,Doctor,18,4,4
W128,1,Doctor,19,1,1
W320,1,Doctor,20,2,2
W318,1,Doctor,21,2,2
W125,1,Doctor,22,3,3
W136,1,Doctor,23,1,1
W434,1,Doctor,24,4,4
W304,1,Doctor,25,2,2
W298,1,Doctor,26,1,1
W500,1,Doctor,27,2,2
W252,1,Doctor,28,1,1
W197,1,Doctor,29,1,1
W401,1,Doctor,30,1,1
W303,1,Doctor,31,4,4
W243,1,Doctor,32,1,1
W462,1,Doctor,33,4,4
W307,1,Doctor,34,2,2
W459,1,Doctor,35,1,1
W23,1,Doctor,36,3,3
W72,1,Doctor,37,1,1
W107,1,Doctor,38,2,2
W263,1,Doctor,39,2,2
W352,1,Doctor,40,1,1
W235,1,Doctor,41,2,2
W276,1,Doctor,42,1,1
W400,1,Doctor,43,3,3
W485,1,Doctor,44,1,1
W497,1,Doctor,45,1,1
W224,1,Doctor,46,0,0
W64,1,Doctor,47,1,1
W7,1,Doctor,48,2,2
W329,1,Doctor,49,1,1
W108,1,Doctor,50,1,1
W70,1,Doctor,51,1,1
W69,1,Doctor,52,1,1
W330,1,Doctor,53,1,1
W444,1,Doctor,54,1,1
W62,1,Doctor,55,3,3
W189,1,Doctor,56,4,4
W102,1,Doctor,57,4,4
W471,1,Doctor,58,3,3
W142,1,Doctor,59,4,4
W417,1,Doctor,60,1,1
W283,1,Doctor,61,3,3
W236,1,Doctor,62,2,2
W272,1,Doctor,63,1,1
W292,1,Doctor,64,2,2
