id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)"
W283,1,Doctor,1,4,4
W105,1,Doctor,2,1,1
W207,1,Doctor,3,4,4
W185,1,Doctor,4,3,3
W295,1,Doctor,5,1,1
W186,1,Doctor,6,1,1
W370,1,Doctor,7,4,4
W412,1,Doctor,8,2,2
W188,1,Doctor,9,2,2
W65,1,Doctor,10,4,4
W422,1,Doctor,11,2,2
W210,1,Doctor,12,1,1
W264,1,Doctor,13,2,2
W155,1,Doctor,14,3,3
W129,1,Doctor,15,2,2
W39,1,Doctor,16,1,1
W463,1,Doctor,17,0,0
W114,1,Doctor,18,1,1
W195,1,Doctor,19,1,1
W249,1,Doctor,20,2,2
W384,1,Doctor,21,1,1
W310,1,Doctor,22,1,1
W165,1,Doctor,23,1,1
W54,1,Doctor,24,0,0
W208,1,Doctor,25,2,2
W204,1,Doctor,26,4,4
W13,1,Doctor,27,4,4
W234,1,Doctor,28,2,2
W421,1,Doctor,29,1,1
W166,1,Doctor,30,1,1
W358,1,Doctor,31,1,1
W90,1,Doctor,32,5,5
W292,1,Doctor,33,1,1
W405,1,Doctor,34,5,5
W315,1,Doctor,35,2,2
W49,1,Doctor,36,1,1
W425,1,Doctor,37,1,1
W229,1,Doctor,38,1,1
W285,1,Doctor,39,1,1
W61,1,Doctor,40,1,1
W378,1,Doctor,41,3,3
W468,1,Doctor,42,1,1
W352,1,Doctor,43,1,1
W30,1,Doctor,44,1,1
W198,1,Doctor,45,2,2
W111,1,Doctor,46,2,2
W320,1,Doctor,47,1,1
W430,1,Doctor,48,2,2
W477,1,Doctor,49,1,1
W219,1,Doctor,50,4,4
W154,1,Doctor,51,1,1
W306,1,Doctor,52,3,3
W20,1,Doctor,53,4,4
W312,1,Doctor,54,1,1
W350,1,Doctor,55,0,0
W137,1,Doctor,56,5,5
W481,1,Doctor,57,1,1
W156,1,Doctor,58,1,1
W492,1,Doctor,59,2,2
W91,1,Doctor,60,2,2
W351,1,Doctor,61,1,1
W461,1,Doctor,62,3,3
W2,1,Doctor,63,5,5
W401,1,Doctor,64,4,4
W106,1,Doctor,65,1,1
W17,1,Doctor,66,1,1
W497,1,Doctor,67,3,3
W348,1,Doctor,68,3,3
W402,1,Doctor,69,1,1
W367,1,Doctor,70,1,1
W462,1,Doctor,71,1,1
W170,1,Doctor,72,2,1
W64,1,Doctor,73,0,0
W390,1,Doctor,74,1,1
W76,1,Doctor,75,1,1
W317,1,Doctor,76,1,1
W89,1,Doctor,77,4,4
W92,1,Doctor,78,5,5
W417,1,Doctor,79,1,1
W247,1,Doctor,80,1,1
W77,1,Doctor,81,1,1
W18,1,Doctor,82,1,1
W24,1,Doctor,83,0,0
W21,1,Doctor,84,1,1
W187,1,Doctor,85,1,1
W290,1,Doctor,86,2,2
W259,1,Doctor,87,2,2
W464,1,Doctor,88,4,3
W460,1,Doctor,89,3,3
W359,1,Doctor,90,2,2
W255,1,Doctor,91,2,2
W141,1,Doctor,92,4,2
W122,1,Doctor,93,2,2
W445,1,Doctor,94,1,1
W163,1,Doctor,95,2,2
W47,1,Doctor,96,3,2
W112,1,Doctor,97,0,0
W100,1,Doctor,98,2,2
W356,1,Doctor,99,6,4
W379,1,Doctor,100,1,1
W253,1,Doctor,101,2,2
W63,1,Doctor,102,5,5
W413,1,Doctor,103,2,2
W248,1,Doctor,104,3,3
W98,1,Doctor,105,6,5
W140,1,Doctor,106,3,3
W410,1,Doctor,107,2,1
W436,1,Doctor,108,1,1
W139,1,Doctor,109,1,1
W93,1,Doctor,110,3,3
W25,1,Doctor,111,1,1
W364,1,Doctor,112,4,4
W418,1,Doctor,113,3,2
W251,1,Doctor,114,1,1
W213,1,Doctor,115,2,2
W257,1,Doctor,116,4,3
W327,1,Doctor,117,1,1
W132,1,Doctor,118,2,2
W342,1,Doctor,119,1,1
W415,1,Doctor,120,1,1
W119,1,Doctor,121,5,4
W73,1,Doctor,122,1,1
W302,1,Doctor,123,3,3
W211,1,Doctor,124,5,5
W95,1,Doctor,125,3,1
W135,1,Doctor,126,2,2
W241,1,Doctor,127,2,2
W474,1,Doctor,128,1,1
W346,1,Doctor,129,5,4
W31,1,Doctor,130,1,1
W371,1,Doctor,131,1,1
W157,1,Doctor,132,2,2
W307,1,Doctor,133,2,1
