id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)"
W114,1,Doctor,1,1,1
W256,1,Doctor,2,1,1
W305,1,Doctor,3,1,1
W337,1,Doctor,4,1,1
W484,1,Doctor,5,1,1
W477,1,Doctor,6,1,1
W176,1,Doctor,7,2,2
W255,1,Doctor,8,1,1
W325,1,Doctor,9,1,1
W362,1,Doctor,10,2,2
W145,1,Doctor,11,1,1
W275,1,Doctor,12,1,1
W448,1,Doctor,13,2,2
W50,1,Doctor,14,1,1
W147,1,Doctor,15,1,1
W491,1,Doctor,16,1,1
W440,1,Doctor,17,1,1
W158,1,Doctor,18,1,1
W318,1,Doctor,19,2,2
W262,1,Doctor,20,1,1
W494,1,Doctor,21,1,1
W438,1,Doctor,22,1,1
W395,1,Doctor,23,1,1
W338,1,Doctor,24,1,1
W439,1,Doctor,25,1,1
W457,1,Doctor,26,1,1
W74,1,Doctor,27,1,1
W236,1,Doctor,28,1,1
W363,1,Doctor,29,1,1
W24,1,Doctor,30,1,1
W270,1,Doctor,31,1,1
W170,1,Doctor,32,3,3
W38,1,Doctor,33,2,2
W91,1,Doctor,34,1,1
W409,1,Doctor,35,1,1
W64,1,Doctor,36,1,1
W12,1,Doctor,37,1,1
W283,1,Doctor,38,1,1
W194,1,Doctor,39,3,3
W185,1,Doctor,40,1,1
W113,1,Doctor,41,2,2
W81,1,Doctor,42,1,1
W296,1,Doctor,43,3,3
W454,1,Doctor,44,1,1
W282,1,Doctor,45,2,2
W221,1,Doctor,46,1,1
W250,1,Doctor,47,1,1
W311,1,Doctor,48,1,1
W79,1,Doctor,49,1,1
W357,1,Doctor,50,1,1
W63,1,Doctor,51,1,1
W458,1,Doctor,52,1,1
W287,1,Doctor,53,1,1
W182,1,Doctor,54,1,1
W387,1,Doctor,55,1,1
W426,1,Doctor,56,1,1
W30,1,Doctor,57,1,1
W497,1,Doctor,58,3,3
W165,1,Doctor,59,1,1
W374,1,Doctor,60,1,1
W121,1,Doctor,61,1,1
W468,1,Doctor,62,1,1
W359,1,Doctor,63,4,4
W7,1,Doctor,64,1,1
W126,1,Doctor,65,2,2
W396,1,Doctor,66,2,2
W96,1,Doctor,67,1,1
W217,1,Doctor,68,2,2
W42,1,Doctor,69,1,1
W402,1,Doctor,70,2,2
W213,1,Doctor,71,1,1
W251,1,Doctor,72,1,1
W446,1,Doctor,73,1,1
W93,1,Doctor,74,2,2
W321,1,Doctor,75,1,1
W269,1,Doctor,76,2,2
W328,1,Doctor,77,2,2
W498,1,Doctor,78,1,1
W25,1,Doctor,79,1,1
W200,1,Doctor,80,2,2
W206,1,Doctor,81,1,1
W276,1,Doctor,82,1,1
W243,1,Doctor,83,1,1
W32,1,Doctor,84,1,1
W267,1,Doctor,85,1,1
W21,1,Doctor,86,2,2
W54,1,Doctor,87,2,2
W368,1,Doctor,88,1,1
W106,1,Doctor,89,1,1
W125,1,Doctor,90,1,1
W122,1,Doctor,91,1,1
W228,1,Doctor,92,1,1
W138,1,Doctor,93,1,1
W308,1,Doctor,94,1,1
W360,1,Doctor,95,2,2
W51,1,Doctor,96,1,1
W1,1,Doctor,97,5,5
W82,1,Doctor,98,1,1
W132,1,Doctor,99,1,1
W392,1,Doctor,100,1,1
W314,1,Doctor,101,1,1
W418,1,Doctor,102,1,1
W101,1,Doctor,103,1,1
W124,1,Doctor,104,1,1
W149,1,Doctor,105,1,1
W89,1,Doctor,106,1,1
W67,1,Doctor,107,1,1
W238,1,Doctor,108,2,2
W68,1,Doctor,109,1,1
W261,1,Doctor,110,1,1
W393,1,Doctor,111,1,1
W478,1,Doctor,112,1,1
W295,1,Doctor,113,4,4
W36,1,Doctor,114,1,1
W72,1,Doctor,115,1,1
W422,1,Doctor,116,3,3
W181,1,Doctor,117,2,2
W160,1,Doctor,118,2,2
W253,1,Doctor,119,2,2
W148,1,Doctor,120,2,2
W135,1,Doctor,121,1,1
W302,1,Doctor,122,4,4
W254,1,Doctor,123,2,2
W76,1,Doctor,124,1,1
W18,1,Doctor,125,1,1
W190,1,Doctor,126,2,2
W330,1,Doctor,127,4,4
W353,1,Doctor,128,1,1
W173,1,Doctor,129,1,1
W291,1,Doctor,130,3,3
W108,1,Doctor,131,4,4
W453,1,Doctor,132,1,1
W372,1,Doctor,133,4,4
W292,1,Doctor,134,2,2
W154,1,Doctor,135,1,1
W226,1,Doctor,136,1,1
W278,1,Doctor,137,4,4
W205,1,Doctor,138,1,1
W252,1,Doctor,139,2,2
W424,1,Doctor,140,1,1
W172,1,Doctor,141,1,1
W169,1,Doctor,142,4,4
W370,1,Doctor,143,1,1
W358,1,Doctor,144,1,1
W8,1,Doctor,145,1,1
W137,1,Doctor,146,4,3
W9,1,Doctor,147,2,2
W179,1,Doctor,148,2,2
W48,1,Doctor,149,2,1
W117,1,Doctor,150,1,1
W286,1,Doctor,151,3,3
W445,1,Doctor,152,1,1
W2,1,Doctor,153,1,1
W94,1,Doctor,154,4,3
W109,1,Doctor,155,1,1
W83,1,Doctor,156,1,1
W369,1,Doctor,157,1,1
W215,1,Doctor,158,1,1
W6,1,Doctor,159,1,1
W211,1,Doctor,160,3,3
W119,1,Doctor,161,1,1
W400,1,Doctor,162,2,2
W260,1,Doctor,163,1,1
W496,1,Doctor,164,1,1
W59,1,Doctor,165,1,1
W294,1,Doctor,166,3,3
W455,1,Doctor,167,3,2
W414,1,Doctor,168,2,2
W139,1,Doctor,169,2,2
W380,1,Doctor,170,1,1
W146,1,Doctor,171,1,1
W223,1,Doctor,172,1,1
W247,1,Doctor,173,1,1
W399,1,Doctor,174,1,1
W107,1,Doctor,175,4,4
W86,1,Doctor,176,1,1
W331,1,Doctor,177,1,1
W144,1,Doctor,178,1,1
W345,1,Doctor,179,3,3
W441,1,Doctor,180,2,2
W198,1,Doctor,181,2,2
W174,1,Doctor,182,1,1
W431,1,Doctor,183,2,2
W133,1,Doctor,184,2,2
W309,1,Doctor,185,1,1
W425,1,Doctor,186,1,1
W437,1,Doctor,187,1,1
W375,1,Doctor,188,1,1
W381,1,Doctor,189,2,2
W416,1,Doctor,190,5,5
W460,1,Doctor,191,1,1
W474,1,Doctor,192,1,1
W271,1,Doctor,193,4,2
W156,1,Doctor,194,1,1
W245,1,Doctor,195,3,3
W56,1,Doctor,196,2,1
W405,1,Doctor,197,1,1
W80,1,Doctor,198,1,1
W128,1,Doctor,199,1,1
W403,1,Doctor,200,2,2
W141,1,Doctor,201,1,1
W350,1,Doctor,202,1,1
W104,1,Doctor,203,1,1
W492,1,Doctor,204,1,1
W229,1,Doctor,205,2,2
W92,1,Doctor,206,2,2
W100,1,Doctor,207,5,5
W485,1,Doctor,208,0,0
W152,1,Doctor,209,1,1
W69,1,Doctor,210,1,1
W219,1,Doctor,211,3,3
W339,1,Doctor,212,1,1
W11,1,Doctor,213,1,1
W413,1,Doctor,214,1,1
W323,1,Doctor,215,1,1
W456,1,Doctor,216,2,2
W136,1,Doctor,217,1,1
W322,1,Doctor,218,5,5
W343,1,Doctor,219,2,2
W408,1,Doctor,220,5,5
W112,1,Doctor,221,3,2
W315,1,Doctor,222,1,1
W222,1,Doctor,223,2,2
W412,1,Doctor,224,3,3
W27,1,Doctor,225,2,2
W142,1,Doctor,226,2,1
W239,1,Doctor,227,5,3
W382,1,Doctor,228,1,1
W317,1,Doctor,229,1,1
W470,1,Doctor,230,5,4
W463,1,Doctor,231,1,1
W346,1,Doctor,232,5,5
W19,1,Doctor,233,2,2
W95,1,Doctor,234,1,1
W15,1,Doctor,235,1,1
W99,1,Doctor,236,2,2
W28,1,Doctor,237,2,2
