id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)"
W256,1,Doctor,1,1,1
W267,1,Doctor,2,1,1
W42,1,Doctor,3,1,1
W491,1,Doctor,4,1,1
W395,1,Doctor,5,1,1
W352,1,Doctor,6,1,1
W208,1,Doctor,7,1,1
W234,1,Doctor,8,1,1
W38,1,Doctor,9,1,1
W332,1,Doctor,10,1,1
W317,1,Doctor,11,2,2
W421,1,Doctor,12,1,1
W192,1,Doctor,13,1,1
W141,1,Doctor,14,1,1
W124,1,Doctor,15,1,1
W147,1,Doctor,16,1,1
W274,1,Doctor,17,1,1
W488,1,Doctor,18,1,1
W279,1,Doctor,19,1,1
W33,1,Doctor,20,1,1
W313,1,Doctor,21,1,1
W399,1,Doctor,22,1,1
W198,1,Doctor,23,1,1
W11,1,Doctor,24,1,1
W56,1,Doctor,25,1,1
W409,1,Doctor,26,1,1
W222,1,Doctor,27,1,1
W65,1,Doctor,28,1,1
W166,1,Doctor,29,1,1
W41,1,Doctor,30,1,1
W465,1,Doctor,31,1,1
W408,1,Doctor,32,1,1
W14,1,Doctor,33,1,1
W396,1,Doctor,34,1,1
W157,1,Doctor,35,1,1
W385,1,Doctor,36,1,1
W329,1,Doctor,37,1,1
W34,1,Doctor,38,1,1
W310,1,Doctor,39,1,1
W263,1,Doctor,40,1,1
W223,1,Doctor,41,1,1
W83,1,Doctor,42,1,1
W380,1,Doctor,43,2,2
W7,1,Doctor,44,1,1
W116,1,Doctor,45,1,1
W435,1,Doctor,46,3,3
W6,1,Doctor,47,1,1
W252,1,Doctor,48,1,1
W376,1,Doctor,49,1,1
W230,1,Doctor,50,1,1
W96,1,Doctor,51,2,2
W46,1,Doctor,52,1,1
W379,1,Doctor,53,1,1
W60,1,Doctor,54,1,1
W285,1,Doctor,55,1,1
W432,1,Doctor,56,1,1
W374,1,Doctor,57,1,1
W493,1,Doctor,58,2,2
W194,1,Doctor,59,1,1
W437,1,Doctor,60,1,1
W70,1,Doctor,61,1,1
W63,1,Doctor,62,2,2
W226,1,Doctor,63,1,1
W123,1,Doctor,64,1,1
W118,1,Doctor,65,1,1
W50,1,Doctor,66,1,1
W144,1,Doctor,67,1,1
W258,1,Doctor,68,1,1
W362,1,Doctor,69,1,1
W322,1,Doctor,70,1,1
W77,1,Doctor,71,1,1
W444,1,Doctor,72,1,1
W359,1,Doctor,73,1,1
W255,1,Doctor,74,1,1
W182,1,Doctor,75,1,1
W179,1,Doctor,76,1,1
W68,1,Doctor,77,2,2
W214,1,Doctor,78,1,1
W423,1,Doctor,79,1,1
W270,1,Doctor,80,1,1
W414,1,Doctor,81,1,1
W366,1,Doctor,82,1,1
W434,1,Doctor,83,2,2
W138,1,Doctor,84,1,1
W93,1,Doctor,85,1,1
W393,1,Doctor,86,1,1
W120,1,Doctor,87,3,3
W486,1,Doctor,88,2,2
W151,1,Doctor,89,1,1
W336,1,Doctor,90,1,1
W461,1,Doctor,91,1,1
W323,1,Doctor,92,1,1
W39,1,Doctor,93,2,2
W459,1,Doctor,94,1,1
W500,1,Doctor,95,1,1
W105,1,Doctor,96,1,1
W303,1,Doctor,97,1,1
W262,1,Doctor,98,1,1
W350,1,Doctor,99,1,1
W249,1,Doctor,100,1,1
W451,1,Doctor,101,2,2
W410,1,Doctor,102,1,1
W121,1,Doctor,103,1,1
W291,1,Doctor,104,1,1
W89,1,Doctor,105,1,1
