Run,Max Interviews,Num Doctors,Num Hospitals,Common utility weight Doctors,Common utility weight Hospitals
1,5,500,500,0.25,0.5
2,5,500,500,0.25,0.5
3,5,500,500,0.25,0.5
4,5,500,500,0.25,0.5
5,5,500,500,0.25,0.5
6,5,500,500,0.25,0.5
7,5,500,500,0.25,0.5
8,5,500,500,0.25,0.5
9,5,500,500,0.25,0.5
10,5,500,500,0.25,0.5
11,5,500,500,0.25,0.5
12,5,500,500,0.25,0.5
13,5,500,500,0.25,0.5
14,5,500,500,0.25,0.5
15,5,500,500,0.25,0.5
16,5,500,500,0.25,0.5
17,5,500,500,0.25,0.5
18,5,500,500,0.25,0.5
19,5,500,500,0.25,0.5
20,5,500,500,0.25,0.5
21,5,500,500,0.25,0.5
22,5,500,500,0.25,0.5
23,5,500,500,0.25,0.5
24,5,500,500,0.25,0.5
25,5,500,500,0.25,0.5
26,5,500,500,0.25,0.5
27,5,500,500,0.25,0.5
28,5,500,500,0.25,0.5
29,5,500,500,0.25,0.5
30,5,500,500,0.25,0.5
31,5,500,500,0.25,0.5
32,5,500,500,0.25,0.5
33,5,500,500,0.25,0.5
34,5,500,500,0.25,0.5
