id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)","GS Match, P (D Proposing)","GS Match, P Prime (D Proposing)"
W363,1,Doctor,1,0,0,120,-1
W482,1,Doctor,2,2,2,91,-1
W50,1,Doctor,3,5,5,64,-1
W437,1,Doctor,4,0,0,67,-1
W291,1,Doctor,5,1,1,10,-1
W173,1,Doctor,6,2,1,2,1
W253,1,Doctor,7,1,1,91,-1
W376,1,Doctor,8,5,3,114,-1
W196,1,Doctor,9,2,1,119,-1
W212,1,Doctor,10,3,1,85,-1
W322,1,Doctor,11,3,1,54,-1
W285,1,Doctor,12,4,2,93,-1
W226,1,Doctor,13,12,4,110,-1
W492,1,Doctor,14,10,5,151,-1
W119,1,Doctor,15,10,2,29,-1
W307,1,Doctor,16,3,1,46,-1
W204,1,Doctor,17,0,0,123,-1
W139,1,Doctor,18,11,3,252,-1
W425,1,Doctor,19,3,1,176,-1
W141,1,Doctor,20,7,2,30,-1
W43,1,Doctor,21,8,2,89,-1
W434,1,Doctor,22,11,2,204,-1
W68,1,Doctor,23,6,1,43,-1
W207,1,Doctor,24,3,1,42,-1
W395,1,Doctor,25,13,4,46,-1
W54,1,Doctor,26,17,4,55,-1
W290,1,Doctor,27,4,1,92,-1
W447,1,Doctor,28,6,1,11,-1
W328,1,Doctor,29,11,2,30,-1
W127,1,Doctor,30,0,0,52,-1
W67,1,Doctor,31,13,3,110,-1
W154,1,Doctor,32,13,3,304,-1
W371,1,Doctor,33,10,2,174,-1
W55,1,Doctor,34,14,3,73,-1
W233,1,Doctor,35,19,5,77,-1
W254,1,Doctor,36,11,2,48,-1
W403,1,Doctor,37,16,1,232,-1
W272,1,Doctor,38,16,3,138,-1
W82,1,Doctor,39,18,2,121,-1
W49,1,Doctor,40,14,1,164,-1
W412,1,Doctor,41,7,3,224,-1
W248,1,Doctor,42,17,2,122,-1
W155,1,Doctor,43,16,2,164,-1
W304,1,Doctor,44,10,1,19,-1
W84,1,Doctor,45,20,2,159,-1
W366,1,Doctor,46,21,1,179,-1
W401,1,Doctor,47,12,1,87,-1
W402,1,Doctor,48,16,1,28,4
W235,1,Doctor,49,20,1,69,-1
W475,1,Doctor,50,21,2,114,-1
W444,1,Doctor,51,32,5,27,-1
W429,1,Doctor,52,18,2,29,-1
W315,1,Doctor,53,28,3,115,-1
W168,1,Doctor,54,22,2,17,-1
W163,1,Doctor,55,10,1,76,-1
W426,1,Doctor,56,31,2,189,-1
W2,1,Doctor,57,24,4,267,-1
W78,1,Doctor,58,12,2,33,-1
W494,1,Doctor,59,24,4,15,-1
W431,1,Doctor,60,26,2,186,-1
W362,1,Doctor,61,19,4,145,-1
W177,1,Doctor,62,22,1,144,-1
W325,1,Doctor,63,12,1,284,-1
W287,1,Doctor,64,20,2,47,-1
W436,1,Doctor,65,31,4,159,-1
W109,1,Doctor,66,13,1,39,-1
W209,1,Doctor,67,14,1,17,-1
W187,1,Doctor,68,25,2,7,-1
W388,1,Doctor,69,18,2,338,-1
W472,1,Doctor,70,21,2,38,-1
W104,1,Doctor,71,29,3,26,-1
W208,1,Doctor,72,22,1,325,-1
W275,1,Doctor,73,38,2,206,-1
W99,1,Doctor,74,31,3,162,-1
W156,1,Doctor,75,31,2,45,-1
W357,1,Doctor,76,36,5,60,-1
W497,1,Doctor,77,24,2,142,-1
W450,1,Doctor,78,19,1,44,-1
W181,1,Doctor,79,0,0,136,-1
W87,1,Doctor,80,24,1,48,-1
W171,1,Doctor,81,23,2,209,-1
W305,1,Doctor,82,42,5,214,-1
W132,1,Doctor,83,23,2,164,-1
W399,1,Doctor,84,53,5,153,-1
W164,1,Doctor,85,16,1,70,-1
W188,1,Doctor,86,32,1,109,-1
W397,1,Doctor,87,21,1,307,-1
W36,1,Doctor,88,36,2,77,-1
W178,1,Doctor,89,32,1,272,-1
W180,1,Doctor,90,23,1,367,-1
W33,1,Doctor,91,40,3,142,-1
W250,1,Doctor,92,38,4,154,-1
W301,1,Doctor,93,44,2,220,-1
W281,1,Doctor,94,40,3,5,-1
W98,1,Doctor,95,52,4,6,-1
W64,1,Doctor,96,26,2,174,-1
W500,1,Doctor,97,46,3,34,-1
W115,1,Doctor,98,26,1,92,-1
W166,1,Doctor,99,38,1,367,-1
W418,1,Doctor,100,53,5,198,-1
W191,1,Doctor,101,27,2,134,-1
W176,1,Doctor,102,58,5,108,-1
W21,1,Doctor,103,38,1,103,-1
W337,1,Doctor,104,0,0,118,-1
W112,1,Doctor,105,48,2,300,-1
W332,1,Doctor,106,37,1,307,-1
W351,1,Doctor,107,44,4,322,-1
W330,1,Doctor,108,37,3,114,-1
W481,1,Doctor,109,53,4,160,-1
W211,1,Doctor,110,37,4,20,-1
W486,1,Doctor,111,0,0,223,-1
W293,1,Doctor,112,0,0,124,-1
W455,1,Doctor,113,39,2,221,-1
W19,1,Doctor,114,40,1,192,-1
W354,1,Doctor,115,30,1,313,-1
W264,1,Doctor,116,64,4,224,-1
W392,1,Doctor,117,43,1,14,-1
