Run,Max Interviews,Num Doctors,Num Hospitals,Common utility weight Doctors,Common utility weight Hospitals
1,5,500,500,0.5,0.95
2,5,500,500,0.5,0.95
3,5,500,500,0.5,0.95
4,5,500,500,0.5,0.95
5,5,500,500,0.5,0.95
6,5,500,500,0.5,0.95
7,5,500,500,0.5,0.95
8,5,500,500,0.5,0.95
9,5,500,500,0.5,0.95
10,5,500,500,0.5,0.95
11,5,500,500,0.5,0.95
12,5,500,500,0.5,0.95
13,5,500,500,0.5,0.95
14,5,500,500,0.5,0.95
15,5,500,500,0.5,0.95
16,5,500,500,0.5,0.95
17,5,500,500,0.5,0.95
18,5,500,500,0.5,0.95
19,5,500,500,0.5,0.95
20,5,500,500,0.5,0.95
21,5,500,500,0.5,0.95
22,5,500,500,0.5,0.95
23,5,500,500,0.5,0.95
24,5,500,500,0.5,0.95
25,5,500,500,0.5,0.95
26,5,500,500,0.5,0.95
27,5,500,500,0.5,0.95
28,5,500,500,0.5,0.95
29,5,500,500,0.5,0.95
30,5,500,500,0.5,0.95
31,5,500,500,0.5,0.95
32,5,500,500,0.5,0.95
33,5,500,500,0.5,0.95
34,5,500,500,0.5,0.95
