id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)","GS Match, P (D Proposing)","GS Match, P Prime (D Proposing)"
W48,1,Doctor,1,2,2,3,3
W353,1,Doctor,2,1,1,3,3
W452,1,Doctor,3,2,2,4,4
W271,1,Doctor,4,2,2,6,-1
W318,1,Doctor,5,2,2,2,2
W434,1,Doctor,6,1,1,1,1
W420,1,Doctor,7,1,1,1,1
W500,1,Doctor,8,3,3,4,4
W435,1,Doctor,9,1,1,1,1
W160,1,Doctor,10,1,1,1,1
W193,1,Doctor,11,2,2,2,2
W447,1,Doctor,12,1,1,3,3
W17,1,Doctor,13,1,1,1,1
W388,1,Doctor,14,1,1,1,1
W144,1,Doctor,15,1,1,2,2
W37,1,Doctor,16,1,1,1,1
W125,1,Doctor,17,1,1,1,1
W499,1,Doctor,18,1,1,2,2
W301,1,Doctor,19,1,1,1,1
W254,1,Doctor,20,2,2,2,2
W55,1,Doctor,21,1,1,2,2
W120,1,Doctor,22,1,1,6,-1
W174,1,Doctor,23,1,1,1,1
W325,1,Doctor,24,1,1,4,4
W285,1,Doctor,25,2,2,2,2
W25,1,Doctor,26,2,2,6,-1
W364,1,Doctor,27,3,3,7,-1
W202,1,Doctor,28,2,2,2,2
W107,1,Doctor,29,1,1,1,1
W331,1,Doctor,30,1,1,1,1
W7,1,Doctor,31,1,1,1,1
W8,1,Doctor,32,3,3,5,5
W94,1,Doctor,33,0,0,9,-1
W492,1,Doctor,34,3,3,4,4
W151,1,Doctor,35,1,1,5,5
W200,1,Doctor,36,1,1,2,2
W209,1,Doctor,37,2,2,3,3
W47,1,Doctor,38,2,2,2,2
W263,1,Doctor,39,5,5,6,-1
W363,1,Doctor,40,1,1,7,-1
W20,1,Doctor,41,2,2,4,4
W237,1,Doctor,42,2,2,3,3
W319,1,Doctor,43,4,4,4,4
W281,1,Doctor,44,1,1,5,5
W142,1,Doctor,45,5,5,7,-1
W243,1,Doctor,46,1,1,1,1
W78,1,Doctor,47,2,2,10,-1
W471,1,Doctor,48,1,1,1,1
W343,1,Doctor,49,1,1,2,2
W294,1,Doctor,50,1,1,8,-1
W419,1,Doctor,51,3,3,30,-1
W365,1,Doctor,52,2,2,2,2
W344,1,Doctor,53,1,1,3,3
W119,1,Doctor,54,1,1,1,1
W178,1,Doctor,55,1,1,1,1
W96,1,Doctor,56,4,4,6,-1
W122,1,Doctor,57,2,2,2,2
W433,1,Doctor,58,4,4,8,-1
W21,1,Doctor,59,1,1,4,4
W69,1,Doctor,60,1,1,1,1
W431,1,Doctor,61,1,1,3,3
W477,1,Doctor,62,1,1,2,2
W99,1,Doctor,63,1,1,2,2
W380,1,Doctor,64,1,1,1,1
W451,1,Doctor,65,3,3,11,-1
W244,1,Doctor,66,3,3,3,3
W372,1,Doctor,67,2,2,7,-1
W268,1,Doctor,68,1,1,1,1
W293,1,Doctor,69,3,3,3,3
W35,1,Doctor,70,2,2,2,2
W449,1,Doctor,71,1,1,1,1
W442,1,Doctor,72,2,2,2,2
W14,1,Doctor,73,2,2,2,2
W180,1,Doctor,74,2,2,2,2
W113,1,Doctor,75,4,4,5,5
W317,1,Doctor,76,1,1,10,-1
W68,1,Doctor,77,1,1,1,1
W347,1,Doctor,78,1,1,1,1
W214,1,Doctor,79,1,1,5,5
W298,1,Doctor,80,2,2,2,2
W45,1,Doctor,81,1,1,5,5
W158,1,Doctor,82,1,1,4,4
W346,1,Doctor,83,1,1,1,1
W362,1,Doctor,84,2,2,2,2
W2,1,Doctor,85,1,1,12,-1
W154,1,Doctor,86,3,3,5,5
W30,1,Doctor,87,2,2,4,4
W152,1,Doctor,88,1,1,16,-1
W106,1,Doctor,89,1,1,2,2
W407,1,Doctor,90,3,2,3,2
W253,1,Doctor,91,3,3,11,-1
W175,1,Doctor,92,2,2,4,4
W29,1,Doctor,93,2,2,5,5
W445,1,Doctor,94,0,0,6,-1
W479,1,Doctor,95,3,3,3,3
W168,1,Doctor,96,1,1,13,-1
W428,1,Doctor,97,1,1,5,5
W354,1,Doctor,98,1,1,9,-1
W495,1,Doctor,99,2,2,5,5
W485,1,Doctor,100,3,3,3,3
W385,1,Doctor,101,1,1,9,-1
W13,1,Doctor,102,1,1,3,3
W42,1,Doctor,103,1,1,7,-1
W450,1,Doctor,104,4,4,5,5
W232,1,Doctor,105,1,1,4,4
W31,1,Doctor,106,1,1,5,5
W139,1,Doctor,107,3,3,3,3
W336,1,Doctor,108,4,4,9,-1
W373,1,Doctor,109,1,1,3,3
W197,1,Doctor,110,1,1,6,-1
W387,1,Doctor,111,1,1,4,4
W406,1,Doctor,112,1,1,15,-1
W23,1,Doctor,113,4,4,7,-1
W114,1,Doctor,114,1,1,8,-1
W340,1,Doctor,115,3,3,4,4
W333,1,Doctor,116,1,1,3,3
W383,1,Doctor,117,2,2,4,4
W245,1,Doctor,118,1,1,3,3
W430,1,Doctor,119,1,1,1,1
W306,1,Doctor,120,1,1,1,1
W296,1,Doctor,121,1,1,1,1
W252,1,Doctor,122,0,0,10,-1
W348,1,Doctor,123,1,1,2,2
W421,1,Doctor,124,5,5,13,-1
W267,1,Doctor,125,1,1,1,1
W169,1,Doctor,126,1,1,2,2
W87,1,Doctor,127,1,1,11,-1
W257,1,Doctor,128,1,1,2,2
W54,1,Doctor,129,1,1,4,4
W124,1,Doctor,130,2,2,2,2
W461,1,Doctor,131,2,2,14,-1
W321,1,Doctor,132,3,3,11,-1
W405,1,Doctor,133,2,2,3,3
W116,1,Doctor,134,4,4,4,4
W455,1,Doctor,135,5,5,6,-1
W70,1,Doctor,136,2,1,7,-1
W416,1,Doctor,137,2,2,5,5
W342,1,Doctor,138,1,1,1,1
W328,1,Doctor,139,2,2,6,-1
W12,1,Doctor,140,1,1,1,1
W117,1,Doctor,141,2,2,7,-1
W427,1,Doctor,142,1,1,1,1
W248,1,Doctor,143,1,1,2,2
W255,1,Doctor,144,1,1,2,2
