id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)","GS Match, P (D Proposing)","GS Match, P Prime (D Proposing)"
W99,1,Doctor,1,2,2,2,2
W168,1,Doctor,2,2,2,4,4
W461,1,Doctor,3,1,1,2,2
W230,1,Doctor,4,3,3,4,4
W147,1,Doctor,5,3,3,5,5
W157,1,Doctor,6,1,1,2,2
W376,1,Doctor,7,1,1,13,-1
W103,1,Doctor,8,3,3,11,-1
W86,1,Doctor,9,1,1,7,-1
W156,1,Doctor,10,2,2,3,3
W239,1,Doctor,11,1,1,1,1
W127,1,Doctor,12,3,3,3,3
W451,1,Doctor,13,1,1,4,4
W21,1,Doctor,14,5,5,5,5
W410,1,Doctor,15,2,2,5,5
W150,1,Doctor,16,1,1,3,3
W476,1,Doctor,17,1,1,1,1
W481,1,Doctor,18,1,1,5,5
W332,1,Doctor,19,1,1,1,1
W305,1,Doctor,20,3,3,4,4
W187,1,Doctor,21,1,1,1,1
W164,1,Doctor,22,1,1,6,-1
W79,1,Doctor,23,2,2,18,-1
W166,1,Doctor,24,1,1,1,1
W267,1,Doctor,25,1,1,1,1
W399,1,Doctor,26,2,2,22,-1
W265,1,Doctor,27,3,3,5,5
W489,1,Doctor,28,5,5,27,-1
W199,1,Doctor,29,1,1,2,2
W437,1,Doctor,30,1,1,4,4
W74,1,Doctor,31,1,1,5,5
W383,1,Doctor,32,3,3,8,-1
W398,1,Doctor,33,2,2,9,-1
W450,1,Doctor,34,1,1,7,-1
W328,1,Doctor,35,1,1,1,1
W326,1,Doctor,36,1,1,7,-1
W490,1,Doctor,37,1,1,6,-1
W179,1,Doctor,38,1,1,1,1
W494,1,Doctor,39,1,1,5,5
W221,1,Doctor,40,4,4,12,-1
W417,1,Doctor,41,1,1,7,-1
W324,1,Doctor,42,2,2,2,2
W195,1,Doctor,43,3,3,6,-1
W403,1,Doctor,44,3,3,12,-1
W167,1,Doctor,45,3,3,3,3
W391,1,Doctor,46,4,4,16,-1
W110,1,Doctor,47,1,1,2,2
W143,1,Doctor,48,3,2,8,-1
W140,1,Doctor,49,1,1,7,-1
W371,1,Doctor,50,1,1,3,3
W319,1,Doctor,51,1,1,23,-1
W361,1,Doctor,52,1,1,2,2
W182,1,Doctor,53,1,1,21,-1
W298,1,Doctor,54,3,3,9,-1
W311,1,Doctor,55,1,1,6,-1
W123,1,Doctor,56,1,1,18,-1
W369,1,Doctor,57,3,3,5,5
W469,1,Doctor,58,3,3,23,-1
W479,1,Doctor,59,2,2,17,-1
W67,1,Doctor,60,1,1,19,-1
W122,1,Doctor,61,1,1,9,-1
W352,1,Doctor,62,2,2,2,2
W219,1,Doctor,63,2,2,5,5
W14,1,Doctor,64,2,2,20,-1
W448,1,Doctor,65,1,1,1,1
W142,1,Doctor,66,1,1,17,-1
