id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)","GS Match, P (D Proposing)","GS Match, P Prime (D Proposing)"
W410,1,Doctor,1,0,0,10,-1
W184,1,Doctor,2,2,2,4,4
W192,1,Doctor,3,1,1,22,-1
W111,1,Doctor,4,4,4,11,-1
W252,1,Doctor,5,3,3,3,3
W287,1,Doctor,6,5,1,1,-1
W11,1,Doctor,7,5,1,20,-1
W112,1,Doctor,8,8,3,14,-1
W163,1,Doctor,9,9,4,14,-1
W152,1,Doctor,10,7,1,11,5
W67,1,Doctor,11,10,1,16,-1
W345,1,Doctor,12,10,1,4,-1
W439,1,Doctor,13,11,1,32,-1
W182,1,Doctor,14,11,2,37,-1
W29,1,Doctor,15,11,1,85,-1
W10,1,Doctor,16,15,1,45,-1
W265,1,Doctor,17,16,1,39,-1
W164,1,Doctor,18,15,1,73,-1
W249,1,Doctor,19,15,2,15,2
W89,1,Doctor,20,13,1,55,-1
W24,1,Doctor,21,18,2,37,-1
W87,1,Doctor,22,24,3,29,-1
W298,1,Doctor,23,24,3,37,-1
W132,1,Doctor,24,21,1,91,-1
W388,1,Doctor,25,22,1,64,-1
W372,1,Doctor,26,23,2,98,-1
W79,1,Doctor,27,26,2,12,-1
W59,1,Doctor,28,25,1,18,-1
W364,1,Doctor,29,28,3,46,-1
W327,1,Doctor,30,0,0,47,-1
W450,1,Doctor,31,28,1,76,-1
W127,1,Doctor,32,27,1,46,-1
W297,1,Doctor,33,26,1,7,-1
W157,1,Doctor,34,30,3,36,5
W387,1,Doctor,35,38,5,55,-1
W346,1,Doctor,36,31,1,4,-1
W431,1,Doctor,37,35,3,90,-1
W421,1,Doctor,38,34,1,23,-1
W155,1,Doctor,39,33,1,25,-1
W124,1,Doctor,40,37,2,94,-1
W4,1,Doctor,41,39,2,121,-1
W34,1,Doctor,42,37,1,71,-1
W456,1,Doctor,43,36,1,44,-1
W96,1,Doctor,44,38,2,27,-1
W136,1,Doctor,45,34,1,61,-1
W227,1,Doctor,46,45,5,27,-1
W325,1,Doctor,47,39,2,72,-1
W254,1,Doctor,48,45,3,32,-1
W350,1,Doctor,49,46,3,33,-1
W129,1,Doctor,50,49,4,58,-1
W48,1,Doctor,51,40,1,124,-1
W135,1,Doctor,52,49,2,80,-1
W435,1,Doctor,53,46,1,62,-1
W381,1,Doctor,54,51,4,63,-1
W26,1,Doctor,55,47,1,86,-1
W180,1,Doctor,56,53,3,76,-1
W100,1,Doctor,57,51,2,118,-1
W353,1,Doctor,58,52,2,88,-1
W436,1,Doctor,59,54,2,18,-1
W214,1,Doctor,60,51,1,53,3
W377,1,Doctor,61,57,4,134,-1
W114,1,Doctor,62,52,1,136,-1
W392,1,Doctor,63,55,1,44,-1
W370,1,Doctor,64,55,2,138,-1
W373,1,Doctor,65,59,3,53,-1
W216,1,Doctor,66,58,3,70,-1
W36,1,Doctor,67,56,1,84,-1
W9,1,Doctor,68,57,2,80,-1
W65,1,Doctor,69,62,2,117,-1
W307,1,Doctor,70,50,1,157,-1
W102,1,Doctor,71,58,2,68,-1
W296,1,Doctor,72,59,1,90,-1
W288,1,Doctor,73,65,3,135,-1
W115,1,Doctor,74,66,2,43,-1
W282,1,Doctor,75,57,1,181,-1
W91,1,Doctor,76,0,0,33,-1
W35,1,Doctor,77,62,1,93,-1
W187,1,Doctor,78,0,0,115,-1
W238,1,Doctor,79,63,2,113,-1
W278,1,Doctor,80,67,1,95,-1
W188,1,Doctor,81,61,1,128,-1
W226,1,Doctor,82,68,1,18,-1
W160,1,Doctor,83,73,1,90,-1
W43,1,Doctor,84,76,3,98,-1
W321,1,Doctor,85,82,3,146,-1
W389,1,Doctor,86,74,1,92,-1
W480,1,Doctor,87,78,1,81,3
W203,1,Doctor,88,79,1,115,-1
W447,1,Doctor,89,83,3,195,-1
W28,1,Doctor,90,78,1,58,-1
W151,1,Doctor,91,65,1,127,-1
W172,1,Doctor,92,83,2,181,-1
W206,1,Doctor,93,86,3,112,-1
W140,1,Doctor,94,84,3,123,-1
W498,1,Doctor,95,77,1,169,-1
W42,1,Doctor,96,86,2,148,-1
W457,1,Doctor,97,82,2,166,-1
W316,1,Doctor,98,77,1,131,-1
W40,1,Doctor,99,94,5,209,-1
W292,1,Doctor,100,89,3,182,-1
W263,1,Doctor,101,86,1,101,-1
W454,1,Doctor,102,83,1,144,-1
W73,1,Doctor,103,88,1,62,-1
W383,1,Doctor,104,84,1,64,-1
W348,1,Doctor,105,78,1,50,-1
W493,1,Doctor,106,96,1,67,-1
W32,1,Doctor,107,90,1,164,-1
W386,1,Doctor,108,92,1,32,-1
W57,1,Doctor,109,105,2,103,-1
W39,1,Doctor,110,110,4,151,-1
W131,1,Doctor,111,111,4,129,-1
W213,1,Doctor,112,111,5,36,-1
W257,1,Doctor,113,110,2,168,-1
W311,1,Doctor,114,109,1,181,-1
W378,1,Doctor,115,113,5,187,-1
W224,1,Doctor,116,112,4,149,-1
W473,1,Doctor,117,112,2,62,-1
W340,1,Doctor,118,115,5,26,-1
W422,1,Doctor,119,109,2,207,-1
W194,1,Doctor,120,108,1,112,-1
W308,1,Doctor,121,116,5,193,-1
W481,1,Doctor,122,108,3,185,-1
W430,1,Doctor,123,102,1,98,-1
W476,1,Doctor,124,118,4,119,-1
W179,1,Doctor,125,110,1,187,-1
W113,1,Doctor,126,112,1,148,-1
W44,1,Doctor,127,112,1,106,-1
W30,1,Doctor,128,113,2,26,-1
W244,1,Doctor,129,118,1,217,-1
W379,1,Doctor,130,121,1,4,-1
W49,1,Doctor,131,117,1,173,-1
W82,1,Doctor,132,128,5,58,-1
W241,1,Doctor,133,120,1,141,-1
W343,1,Doctor,134,114,1,197,-1
W360,1,Doctor,135,124,3,194,-1
W404,1,Doctor,136,128,1,219,-1
W344,1,Doctor,137,135,3,102,-1
W109,1,Doctor,138,0,0,62,-1
W337,1,Doctor,139,134,4,48,-1
W314,1,Doctor,140,134,4,179,-1
W125,1,Doctor,141,130,1,208,-1
W415,1,Doctor,142,0,0,99,-1
W60,1,Doctor,143,132,2,186,-1
W147,1,Doctor,144,0,0,59,-1
W458,1,Doctor,145,135,2,132,-1
W162,1,Doctor,146,129,1,283,-1
W158,1,Doctor,147,138,1,125,-1
W475,1,Doctor,148,143,2,163,-1
W86,1,Doctor,149,142,3,217,-1
W84,1,Doctor,150,127,1,131,-1
W145,1,Doctor,151,132,1,188,-1
W330,1,Doctor,152,138,1,84,-1
W105,1,Doctor,153,142,2,139,-1
W21,1,Doctor,154,144,2,180,-1
W306,1,Doctor,155,145,3,276,-1
W14,1,Doctor,156,146,3,146,3
W496,1,Doctor,157,139,2,192,-1
W412,1,Doctor,158,149,3,132,-1
W93,1,Doctor,159,153,4,86,-1
W390,1,Doctor,160,144,1,189,-1
W440,1,Doctor,161,146,2,187,-1
W424,1,Doctor,162,151,3,207,-1
W232,1,Doctor,163,150,1,195,-1
W27,1,Doctor,164,142,2,46,-1
W66,1,Doctor,165,152,1,210,-1
W75,1,Doctor,166,147,1,140,-1
W62,1,Doctor,167,156,2,168,-1
W191,1,Doctor,168,159,2,118,-1
W116,1,Doctor,169,155,5,252,-1
W490,1,Doctor,170,161,3,43,-1
W250,1,Doctor,171,151,1,152,-1
W463,1,Doctor,172,167,4,142,-1
W47,1,Doctor,173,159,2,115,-1
W70,1,Doctor,174,159,2,207,-1
W429,1,Doctor,175,166,3,194,-1
W177,1,Doctor,176,165,1,202,-1
W31,1,Doctor,177,160,2,204,-1
W460,1,Doctor,178,161,1,123,-1
W407,1,Doctor,179,154,1,328,-1
W185,1,Doctor,180,168,1,88,-1
W276,1,Doctor,181,172,3,227,-1
W281,1,Doctor,182,170,1,25,-1
W228,1,Doctor,183,169,2,253,-1
W123,1,Doctor,184,171,3,132,-1
W189,1,Doctor,185,171,2,9,-1
W243,1,Doctor,186,175,1,185,-1
W335,1,Doctor,187,172,1,72,-1
W262,1,Doctor,188,179,3,133,-1
W69,1,Doctor,189,172,1,181,-1
W85,1,Doctor,190,168,2,9,-1
W448,1,Doctor,191,174,2,78,-1
W347,1,Doctor,192,168,1,101,-1
W406,1,Doctor,193,180,2,168,-1
W71,1,Doctor,194,178,1,179,-1
W338,1,Doctor,195,171,1,195,-1
W484,1,Doctor,196,170,1,223,-1
W391,1,Doctor,197,0,0,260,-1
W236,1,Doctor,198,0,0,185,-1
W142,1,Doctor,199,197,5,280,-1
W315,1,Doctor,200,183,1,297,-1
W253,1,Doctor,201,189,2,284,-1
W269,1,Doctor,202,192,1,154,-1
W33,1,Doctor,203,190,4,300,-1
W211,1,Doctor,204,0,0,241,-1
W99,1,Doctor,205,194,2,214,-1
W88,1,Doctor,206,186,2,136,-1
W462,1,Doctor,207,205,5,222,-1
