id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)","GS Match, P (D Proposing)","GS Match, P Prime (D Proposing)"
W322,1,Doctor,1,1,1,1,1
W451,1,Doctor,2,2,2,2,2
W277,1,Doctor,3,4,4,4,4
W171,1,Doctor,4,2,2,2,2
W262,1,Doctor,5,0,0,8,-1
W174,1,Doctor,6,5,1,5,1
W416,1,Doctor,7,6,2,6,2
W489,1,Doctor,8,8,3,10,5
W49,1,Doctor,9,7,1,14,-1
W199,1,Doctor,10,7,1,16,-1
W84,1,Doctor,11,8,1,20,-1
W381,1,Doctor,12,13,4,18,-1
W374,1,Doctor,13,15,5,16,-1
W379,1,Doctor,14,14,2,7,-1
W340,1,Doctor,15,16,4,19,-1
W161,1,Doctor,16,11,1,11,1
W307,1,Doctor,17,17,3,20,-1
W25,1,Doctor,18,15,1,20,5
W58,1,Doctor,19,16,1,21,-1
W105,1,Doctor,20,18,2,22,-1
W414,1,Doctor,21,16,1,31,-1
W493,1,Doctor,22,19,1,25,-1
W139,1,Doctor,23,21,4,6,-1
W173,1,Doctor,24,18,1,11,-1
W439,1,Doctor,25,22,3,29,-1
W500,1,Doctor,26,22,1,33,-1
W189,1,Doctor,27,26,3,32,-1
W233,1,Doctor,28,25,1,10,-1
W433,1,Doctor,29,28,2,46,-1
W445,1,Doctor,30,30,4,27,-1
W12,1,Doctor,31,29,3,43,-1
W11,1,Doctor,32,32,2,32,2
W430,1,Doctor,33,33,2,40,-1
W393,1,Doctor,34,35,5,35,5
W123,1,Doctor,35,32,2,47,-1
W32,1,Doctor,36,34,3,7,-1
W450,1,Doctor,37,34,3,28,-1
W260,1,Doctor,38,32,1,17,-1
W54,1,Doctor,39,32,1,38,-1
W399,1,Doctor,40,37,4,39,-1
W153,1,Doctor,41,32,1,69,-1
W395,1,Doctor,42,33,1,49,-1
W191,1,Doctor,43,34,2,39,-1
W346,1,Doctor,44,33,1,31,-1
W180,1,Doctor,45,40,2,60,-1
W308,1,Doctor,46,42,2,42,2
W48,1,Doctor,47,46,4,78,-1
W142,1,Doctor,48,49,5,58,-1
W85,1,Doctor,49,45,4,60,-1
W239,1,Doctor,50,0,0,61,-1
W65,1,Doctor,51,44,1,64,-1
W441,1,Doctor,52,39,1,72,-1
W320,1,Doctor,53,49,3,52,5
W155,1,Doctor,54,44,1,55,-1
W238,1,Doctor,55,45,1,75,-1
W14,1,Doctor,56,52,2,48,-1
W323,1,Doctor,57,43,1,47,-1
W33,1,Doctor,58,43,1,60,-1
W75,1,Doctor,59,57,3,46,-1
W162,1,Doctor,60,51,1,69,-1
W100,1,Doctor,61,0,0,73,-1
W207,1,Doctor,62,60,3,62,5
W281,1,Doctor,63,0,0,76,-1
W30,1,Doctor,64,54,1,77,-1
W273,1,Doctor,65,60,2,66,-1
W242,1,Doctor,66,54,1,89,-1
W361,1,Doctor,67,61,5,63,-1
W286,1,Doctor,68,64,4,51,-1
W145,1,Doctor,69,64,4,49,-1
W417,1,Doctor,70,54,1,37,-1
W44,1,Doctor,71,54,1,54,1
W168,1,Doctor,72,65,1,50,-1
W94,1,Doctor,73,65,1,92,-1
W96,1,Doctor,74,68,1,79,-1
W186,1,Doctor,75,63,1,34,-1
W359,1,Doctor,76,75,3,90,-1
W103,1,Doctor,77,71,1,87,-1
W301,1,Doctor,78,64,1,67,-1
W492,1,Doctor,79,77,3,21,-1
W163,1,Doctor,80,75,1,107,-1
W86,1,Doctor,81,73,1,61,-1
W197,1,Doctor,82,74,1,70,-1
W407,1,Doctor,83,74,2,80,4
W89,1,Doctor,84,81,2,88,-1
W449,1,Doctor,85,82,1,91,-1
W470,1,Doctor,86,81,2,67,-1
W214,1,Doctor,87,81,1,78,-1
W116,1,Doctor,88,86,2,98,-1
W219,1,Doctor,89,78,1,111,-1
W314,1,Doctor,90,83,2,81,-1
W190,1,Doctor,91,84,2,107,-1
W136,1,Doctor,92,88,4,108,-1
W270,1,Doctor,93,84,1,122,-1
W226,1,Doctor,94,0,0,51,-1
W256,1,Doctor,95,90,2,93,5
W477,1,Doctor,96,91,3,83,-1
W351,1,Doctor,97,83,1,101,-1
W306,1,Doctor,98,87,1,83,-1
W13,1,Doctor,99,88,1,85,-1
W35,1,Doctor,100,101,4,101,4
W460,1,Doctor,101,97,3,76,-1
W280,1,Doctor,102,95,2,118,-1
W298,1,Doctor,103,99,1,98,-1
W283,1,Doctor,104,102,3,126,-1
W115,1,Doctor,105,95,1,97,-1
W297,1,Doctor,106,101,1,101,1
W62,1,Doctor,107,102,3,86,-1
W415,1,Doctor,108,105,4,94,-1
W384,1,Doctor,109,99,2,127,-1
W332,1,Doctor,110,104,4,105,5
W126,1,Doctor,111,102,1,90,-1
W19,1,Doctor,112,103,2,108,-1
W265,1,Doctor,113,102,2,90,-1
W454,1,Doctor,114,102,2,125,-1
W76,1,Doctor,115,111,5,144,-1
W366,1,Doctor,116,104,1,157,-1
W455,1,Doctor,117,107,2,118,-1
W36,1,Doctor,118,98,1,133,-1
W456,1,Doctor,119,109,2,123,-1
W443,1,Doctor,120,108,2,166,-1
W150,1,Doctor,121,104,1,104,1
W121,1,Doctor,122,100,1,140,-1
W237,1,Doctor,123,0,0,137,-1
W240,1,Doctor,124,104,1,119,-1
W344,1,Doctor,125,110,1,134,-1
W9,1,Doctor,126,111,2,158,-1
W195,1,Doctor,127,125,4,146,-1
W491,1,Doctor,128,0,0,130,-1
W354,1,Doctor,129,114,1,132,-1
W248,1,Doctor,130,118,3,177,-1
W269,1,Doctor,131,127,4,166,-1
W436,1,Doctor,132,123,3,106,-1
W282,1,Doctor,133,120,2,172,-1
W321,1,Doctor,134,115,1,159,-1
W42,1,Doctor,135,118,1,117,-1
W170,1,Doctor,136,117,1,135,-1
W118,1,Doctor,137,127,1,138,-1
W198,1,Doctor,138,129,2,129,2
W333,1,Doctor,139,128,1,150,-1
W274,1,Doctor,140,128,3,98,-1
W474,1,Doctor,141,135,3,124,-1
W55,1,Doctor,142,130,3,151,-1
W192,1,Doctor,143,137,4,133,-1
W373,1,Doctor,144,131,2,195,-1
W221,1,Doctor,145,133,3,162,-1
