id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)","GS Match, P (D Proposing)","GS Match, P Prime (D Proposing)"
W439,1,Doctor,1,3,3,30,-1
W78,1,Doctor,2,4,4,4,4
W425,1,Doctor,3,2,2,44,-1
W422,1,Doctor,4,2,2,17,-1
W269,1,Doctor,5,2,2,14,-1
W340,1,Doctor,6,2,2,37,-1
W172,1,Doctor,7,2,2,51,-1
W317,1,Doctor,8,2,2,92,-1
W236,1,Doctor,9,1,1,1,1
W334,1,Doctor,10,1,1,16,-1
W424,1,Doctor,11,5,4,17,-1
W462,1,Doctor,12,3,3,39,-1
W44,1,Doctor,13,3,2,29,-1
W322,1,Doctor,14,1,1,13,-1
W347,1,Doctor,15,4,3,28,-1
W276,1,Doctor,16,1,1,17,-1
W487,1,Doctor,17,4,3,16,-1
W395,1,Doctor,18,1,1,26,-1
W8,1,Doctor,19,0,0,62,-1
W142,1,Doctor,20,7,5,29,-1
W212,1,Doctor,21,0,0,35,-1
W338,1,Doctor,22,4,4,41,-1
W333,1,Doctor,23,3,3,24,-1
W237,1,Doctor,24,3,1,48,-1
W401,1,Doctor,25,3,3,12,-1
W320,1,Doctor,26,1,1,14,-1
W58,1,Doctor,27,0,0,106,-1
W157,1,Doctor,28,1,1,55,-1
W301,1,Doctor,29,4,2,18,-1
W29,1,Doctor,30,3,2,30,-1
W440,1,Doctor,31,1,1,39,-1
W92,1,Doctor,32,3,2,38,-1
W290,1,Doctor,33,2,1,6,4
W336,1,Doctor,34,2,1,77,-1
W292,1,Doctor,35,3,3,119,-1
W144,1,Doctor,36,1,1,47,-1
W175,1,Doctor,37,3,1,25,-1
W196,1,Doctor,38,4,2,28,-1
W205,1,Doctor,39,0,0,79,-1
W79,1,Doctor,40,1,1,89,-1
W81,1,Doctor,41,4,3,4,3
W491,1,Doctor,42,0,0,223,-1
W190,1,Doctor,43,8,5,98,-1
W394,1,Doctor,44,8,5,38,-1
W220,1,Doctor,45,1,1,19,-1
W437,1,Doctor,46,0,0,18,-1
W239,1,Doctor,47,5,2,45,-1
W103,1,Doctor,48,1,1,51,-1
W25,1,Doctor,49,1,1,77,-1
W18,1,Doctor,50,4,3,102,-1
W467,1,Doctor,51,6,3,8,5
W55,1,Doctor,52,2,1,14,-1
W288,1,Doctor,53,5,4,61,-1
W494,1,Doctor,54,4,1,163,-1
W114,1,Doctor,55,7,4,44,-1
W165,1,Doctor,56,7,2,69,-1
W215,1,Doctor,57,3,2,233,-1
W316,1,Doctor,58,0,0,136,-1
W431,1,Doctor,59,0,0,72,-1
W129,1,Doctor,60,4,3,4,3
W98,1,Doctor,61,6,2,56,-1
W253,1,Doctor,62,0,0,25,-1
W20,1,Doctor,63,8,4,85,-1
W61,1,Doctor,64,3,2,21,-1
W247,1,Doctor,65,3,2,210,-1
W76,1,Doctor,66,10,3,64,-1
W122,1,Doctor,67,7,2,87,-1
W168,1,Doctor,68,3,3,50,-1
W284,1,Doctor,69,0,0,60,-1
W116,1,Doctor,70,3,1,77,-1
W369,1,Doctor,71,4,1,50,-1
W102,1,Doctor,72,8,3,2,-1
W281,1,Doctor,73,4,1,37,-1
W173,1,Doctor,74,2,1,6,-1
W460,1,Doctor,75,0,0,117,-1
W420,1,Doctor,76,3,1,45,-1
W97,1,Doctor,77,2,1,81,-1
W357,1,Doctor,78,0,0,9,-1
W485,1,Doctor,79,7,1,73,-1
W194,1,Doctor,80,2,1,52,-1
W125,1,Doctor,81,9,5,10,-1
W465,1,Doctor,82,4,1,1,-1
W419,1,Doctor,83,4,2,25,-1
W489,1,Doctor,84,2,1,73,-1
W88,1,Doctor,85,12,2,49,-1
W225,1,Doctor,86,6,1,177,-1
W448,1,Doctor,87,2,1,24,-1
W219,1,Doctor,88,5,3,26,-1
W151,1,Doctor,89,4,2,76,-1
W499,1,Doctor,90,7,1,123,-1
W204,1,Doctor,91,13,4,169,-1
W436,1,Doctor,92,4,2,26,-1
W470,1,Doctor,93,11,3,28,-1
W250,1,Doctor,94,12,3,216,-1
W57,1,Doctor,95,3,1,69,-1
W230,1,Doctor,96,9,3,13,5
W248,1,Doctor,97,13,5,59,-1
W258,1,Doctor,98,6,1,6,1
W234,1,Doctor,99,12,4,109,-1
W51,1,Doctor,100,3,1,142,-1
W442,1,Doctor,101,0,0,95,-1
W390,1,Doctor,102,4,1,78,-1
W488,1,Doctor,103,3,1,19,-1
W308,1,Doctor,104,5,1,190,-1
W9,1,Doctor,105,7,1,141,-1
W452,1,Doctor,106,4,1,70,-1
W111,1,Doctor,107,3,1,31,-1
W330,1,Doctor,108,6,1,9,3
W341,1,Doctor,109,5,2,12,-1
W77,1,Doctor,110,9,4,16,-1
W158,1,Doctor,111,6,2,70,-1
W352,1,Doctor,112,14,1,109,-1
W300,1,Doctor,113,19,4,25,-1
W45,1,Doctor,114,5,2,49,-1
W266,1,Doctor,115,2,1,56,-1
W279,1,Doctor,116,2,1,29,-1
W267,1,Doctor,117,14,3,55,-1
W146,1,Doctor,118,5,2,84,-1
W59,1,Doctor,119,13,5,131,-1
W123,1,Doctor,120,11,2,41,-1
W416,1,Doctor,121,12,2,92,-1
W271,1,Doctor,122,11,1,53,-1
W99,1,Doctor,123,20,5,74,-1
W329,1,Doctor,124,15,5,74,-1
W110,1,Doctor,125,15,2,85,-1
W398,1,Doctor,126,2,2,266,-1
W326,1,Doctor,127,13,4,67,-1
W273,1,Doctor,128,4,1,87,-1
W476,1,Doctor,129,6,1,206,-1
W180,1,Doctor,130,4,1,94,-1
W197,1,Doctor,131,5,1,13,4
W164,1,Doctor,132,2,1,27,-1
W381,1,Doctor,133,1,1,105,-1
W297,1,Doctor,134,3,1,105,-1
W315,1,Doctor,135,9,2,38,-1
W453,1,Doctor,136,8,3,67,-1
W181,1,Doctor,137,14,2,32,-1
W15,1,Doctor,138,11,1,201,-1
W68,1,Doctor,139,6,1,105,-1
W263,1,Doctor,140,1,1,214,-1
W441,1,Doctor,141,11,2,46,-1
W415,1,Doctor,142,16,2,123,-1
W95,1,Doctor,143,8,1,141,-1
W445,1,Doctor,144,11,2,8,-1
W278,1,Doctor,145,5,2,108,-1
W421,1,Doctor,146,3,1,18,-1
W374,1,Doctor,147,5,1,7,2
W360,1,Doctor,148,8,2,97,-1
W463,1,Doctor,149,7,1,41,-1
W318,1,Doctor,150,10,1,187,-1
W429,1,Doctor,151,20,4,97,-1
W246,1,Doctor,152,3,1,82,-1
W345,1,Doctor,153,6,1,94,-1
W456,1,Doctor,154,20,5,30,-1
W450,1,Doctor,155,11,1,244,-1
W399,1,Doctor,156,7,2,123,-1
W296,1,Doctor,157,6,1,96,-1
W169,1,Doctor,158,13,2,128,-1
W89,1,Doctor,159,3,1,18,-1
W497,1,Doctor,160,8,2,45,-1
W323,1,Doctor,161,8,1,138,-1
W64,1,Doctor,162,5,1,118,-1
W393,1,Doctor,163,2,1,42,-1
W245,1,Doctor,164,14,1,124,-1
W154,1,Doctor,165,6,1,25,-1
W430,1,Doctor,166,6,1,30,-1
W305,1,Doctor,167,5,1,104,-1
W495,1,Doctor,168,5,1,30,-1
W32,1,Doctor,169,28,3,87,-1
W342,1,Doctor,170,15,3,220,-1
W370,1,Doctor,171,13,2,13,2
W183,1,Doctor,172,10,2,33,-1
W382,1,Doctor,173,19,4,80,-1
W49,1,Doctor,174,19,3,50,-1
W259,1,Doctor,175,10,2,93,-1
W70,1,Doctor,176,20,4,34,-1
W477,1,Doctor,177,3,2,38,-1
W359,1,Doctor,178,1,1,100,-1
W458,1,Doctor,179,9,3,24,-1
W74,1,Doctor,180,17,1,97,-1
W384,1,Doctor,181,16,1,49,-1
W134,1,Doctor,182,11,1,112,-1
W361,1,Doctor,183,26,4,91,-1
W472,1,Doctor,184,19,3,19,3
W466,1,Doctor,185,5,1,295,-1
W283,1,Doctor,186,5,1,60,-1
W249,1,Doctor,187,6,1,218,-1
W355,1,Doctor,188,7,1,43,-1
W343,1,Doctor,189,0,0,28,-1
W255,1,Doctor,190,11,2,191,-1
W304,1,Doctor,191,8,1,49,-1
W496,1,Doctor,192,5,1,114,-1
W413,1,Doctor,193,23,3,156,-1
W153,1,Doctor,194,20,1,13,-1
W391,1,Doctor,195,16,3,346,-1
W313,1,Doctor,196,9,1,66,-1
W118,1,Doctor,197,2,1,21,4
W112,1,Doctor,198,15,2,187,-1
W261,1,Doctor,199,10,1,3,-1
W189,1,Doctor,200,17,1,123,-1
W438,1,Doctor,201,5,1,85,-1
W405,1,Doctor,202,10,2,111,-1
W412,1,Doctor,203,8,3,7,-1
W332,1,Doctor,204,27,1,14,-1
W358,1,Doctor,205,10,1,102,-1
W224,1,Doctor,206,11,1,38,-1
W218,1,Doctor,207,4,1,178,-1
W202,1,Doctor,208,14,1,66,-1
W200,1,Doctor,209,22,2,32,-1
W407,1,Doctor,210,8,2,197,-1
W319,1,Doctor,211,11,2,137,-1
W303,1,Doctor,212,8,1,192,-1
W40,1,Doctor,213,12,2,30,-1
W392,1,Doctor,214,21,2,270,-1
W481,1,Doctor,215,0,0,68,-1
W203,1,Doctor,216,10,1,141,-1
W178,1,Doctor,217,0,0,117,-1
W275,1,Doctor,218,29,1,201,-1
W171,1,Doctor,219,12,1,145,-1
W410,1,Doctor,220,8,1,229,-1
W120,1,Doctor,221,17,3,227,-1
W147,1,Doctor,222,31,4,54,-1
W418,1,Doctor,223,30,1,103,-1
W72,1,Doctor,224,30,3,13,-1
W400,1,Doctor,225,4,1,144,-1
W314,1,Doctor,226,27,3,9,-1
W432,1,Doctor,227,28,4,321,-1
W132,1,Doctor,228,21,1,174,-1
W149,1,Doctor,229,19,2,91,-1
W101,1,Doctor,230,49,5,4,-1
W221,1,Doctor,231,30,2,33,-1
W388,1,Doctor,232,30,3,250,-1
W71,1,Doctor,233,5,1,104,-1
W135,1,Doctor,234,1,1,36,-1
W346,1,Doctor,235,16,2,6,-1
W82,1,Doctor,236,22,2,194,-1
W185,1,Doctor,237,6,1,74,-1
W184,1,Doctor,238,25,3,261,-1
W324,1,Doctor,239,39,5,187,-1
W260,1,Doctor,240,28,3,79,-1
W375,1,Doctor,241,3,1,62,-1
W479,1,Doctor,242,28,1,92,-1
W408,1,Doctor,243,35,2,52,4
W302,1,Doctor,244,13,1,78,-1
W379,1,Doctor,245,13,2,29,4
W143,1,Doctor,246,13,1,164,-1
W56,1,Doctor,247,0,0,82,-1
W66,1,Doctor,248,8,1,56,-1
W277,1,Doctor,249,22,1,17,-1
W2,1,Doctor,250,0,0,232,-1
W69,1,Doctor,251,16,2,7,-1
W174,1,Doctor,252,6,1,5,-1
W5,1,Doctor,253,23,1,20,-1
W404,1,Doctor,254,23,1,17,-1
W73,1,Doctor,255,47,5,274,-1
W192,1,Doctor,256,28,3,64,-1
W282,1,Doctor,257,16,1,175,-1
W46,1,Doctor,258,22,1,22,1
W152,1,Doctor,259,23,3,81,-1
W337,1,Doctor,260,15,1,262,-1
W11,1,Doctor,261,19,1,175,-1
W131,1,Doctor,262,14,1,365,-1
W473,1,Doctor,263,7,1,32,3
W28,1,Doctor,264,20,1,20,1
W108,1,Doctor,265,10,1,106,-1
W295,1,Doctor,266,44,1,42,-1
W427,1,Doctor,267,7,1,147,-1
W228,1,Doctor,268,17,1,40,-1
W138,1,Doctor,269,33,3,68,-1
W468,1,Doctor,270,47,4,176,-1
W226,1,Doctor,271,19,1,173,-1
W367,1,Doctor,272,10,1,69,-1
W186,1,Doctor,273,28,1,102,-1
W306,1,Doctor,274,37,1,136,-1
W23,1,Doctor,275,56,1,18,-1
W348,1,Doctor,276,13,1,43,-1
W3,1,Doctor,277,23,1,34,-1
W90,1,Doctor,278,0,0,88,-1
W6,1,Doctor,279,20,1,87,-1
W63,1,Doctor,280,49,3,99,-1
W26,1,Doctor,281,16,1,243,-1
W289,1,Doctor,282,45,2,52,5
W389,1,Doctor,283,28,2,86,-1
W455,1,Doctor,284,22,1,31,-1
W451,1,Doctor,285,13,3,243,-1
W426,1,Doctor,286,27,1,56,-1
W93,1,Doctor,287,29,1,29,1
W211,1,Doctor,288,59,5,71,-1
W53,1,Doctor,289,43,5,56,-1
W327,1,Doctor,290,32,2,120,-1
W498,1,Doctor,291,25,2,90,-1
W128,1,Doctor,292,12,1,190,-1
W366,1,Doctor,293,15,2,37,-1
W244,1,Doctor,294,23,1,22,-1
W409,1,Doctor,295,30,1,196,-1
W206,1,Doctor,296,57,5,57,5
W207,1,Doctor,297,23,2,36,4
W227,1,Doctor,298,28,1,38,-1
W238,1,Doctor,299,23,2,218,-1
W187,1,Doctor,300,0,0,225,-1
W256,1,Doctor,301,46,3,268,-1
W483,1,Doctor,302,29,3,143,-1
W312,1,Doctor,303,41,5,322,-1
W402,1,Doctor,304,0,0,19,-1
W126,1,Doctor,305,45,5,270,-1
