id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)","GS Match, P (D Proposing)","GS Match, P Prime (D Proposing)"
W312,1,Doctor,1,2,2,2,2
W286,1,Doctor,2,4,4,8,-1
W126,1,Doctor,3,3,3,7,-1
W44,1,Doctor,4,1,1,3,3
W431,1,Doctor,5,3,3,6,-1
W202,1,Doctor,6,1,1,25,-1
W345,1,Doctor,7,3,2,9,-1
W403,1,Doctor,8,3,1,29,-1
W385,1,Doctor,9,5,2,26,-1
W450,1,Doctor,10,4,2,40,-1
W35,1,Doctor,11,2,1,8,-1
W322,1,Doctor,12,5,1,50,-1
W389,1,Doctor,13,5,2,70,-1
W71,1,Doctor,14,2,1,3,2
W17,1,Doctor,15,7,2,14,5
W390,1,Doctor,16,4,1,4,1
W254,1,Doctor,17,8,2,27,-1
W48,1,Doctor,18,14,2,66,-1
W359,1,Doctor,19,11,1,18,5
W485,1,Doctor,20,13,4,1,-1
W195,1,Doctor,21,15,3,73,-1
W168,1,Doctor,22,13,5,4,-1
W152,1,Doctor,23,8,1,8,1
W247,1,Doctor,24,9,3,71,-1
W58,1,Doctor,25,9,2,30,-1
W297,1,Doctor,26,0,0,96,-1
W282,1,Doctor,27,5,1,23,-1
W333,1,Doctor,28,6,1,46,-1
W197,1,Doctor,29,10,1,5,-1
W3,1,Doctor,30,13,2,23,-1
W209,1,Doctor,31,0,0,24,-1
W193,1,Doctor,32,7,1,71,-1
W321,1,Doctor,33,19,5,48,-1
W255,1,Doctor,34,16,2,72,-1
W328,1,Doctor,35,5,2,33,-1
W332,1,Doctor,36,6,1,34,-1
W487,1,Doctor,37,8,1,67,-1
W410,1,Doctor,38,22,4,17,-1
W357,1,Doctor,39,5,1,5,1
W75,1,Doctor,40,18,2,51,-1
W415,1,Doctor,41,13,3,30,-1
W442,1,Doctor,42,20,2,18,-1
W245,1,Doctor,43,23,4,23,4
W339,1,Doctor,44,12,1,43,-1
W298,1,Doctor,45,24,4,84,-1
W361,1,Doctor,46,10,1,37,-1
W63,1,Doctor,47,26,2,63,-1
W120,1,Doctor,48,23,3,37,-1
W31,1,Doctor,49,34,4,17,-1
W112,1,Doctor,50,22,1,85,-1
W106,1,Doctor,51,20,2,116,-1
W394,1,Doctor,52,0,0,91,-1
W157,1,Doctor,53,15,1,61,-1
W143,1,Doctor,54,22,3,64,-1
W303,1,Doctor,55,4,1,55,-1
W164,1,Doctor,56,32,3,84,-1
W367,1,Doctor,57,15,1,89,-1
W151,1,Doctor,58,26,2,128,-1
W413,1,Doctor,59,34,2,65,-1
W307,1,Doctor,60,14,1,85,-1
W387,1,Doctor,61,19,3,32,-1
W354,1,Doctor,62,20,1,83,-1
W432,1,Doctor,63,17,1,117,-1
W167,1,Doctor,64,27,1,100,-1
W451,1,Doctor,65,33,4,73,-1
W104,1,Doctor,66,33,3,42,-1
W147,1,Doctor,67,33,3,100,-1
