id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)","GS Match, P (D Proposing)","GS Match, P Prime (D Proposing)"
W377,1,Doctor,1,1,1,45,-1
W411,1,Doctor,2,3,3,218,-1
W389,1,Doctor,3,3,3,3,3
W439,1,Doctor,4,4,4,125,-1
W67,1,Doctor,5,4,4,150,-1
W284,1,Doctor,6,6,1,38,-1
W64,1,Doctor,7,7,2,10,5
W485,1,Doctor,8,8,3,69,-1
W161,1,Doctor,9,9,4,34,-1
W310,1,Doctor,10,9,4,173,-1
W281,1,Doctor,11,9,2,42,-1
W384,1,Doctor,12,9,2,14,5
W465,1,Doctor,13,12,4,110,-1
W224,1,Doctor,14,14,2,39,-1
W383,1,Doctor,15,16,4,21,-1
W77,1,Doctor,16,15,3,269,-1
W70,1,Doctor,17,13,1,234,-1
W156,1,Doctor,18,15,1,25,-1
W451,1,Doctor,19,18,3,73,-1
W132,1,Doctor,20,18,1,66,-1
W450,1,Doctor,21,17,2,197,-1
W40,1,Doctor,22,21,2,22,3
W464,1,Doctor,23,22,2,15,-1
W466,1,Doctor,24,21,2,60,-1
W324,1,Doctor,25,21,1,53,-1
W185,1,Doctor,26,24,2,202,-1
W5,1,Doctor,27,0,0,106,-1
W370,1,Doctor,28,26,3,62,-1
W152,1,Doctor,29,30,4,76,-1
W155,1,Doctor,30,24,1,23,-1
W320,1,Doctor,31,32,4,22,-1
W423,1,Doctor,32,26,1,31,3
W432,1,Doctor,33,30,1,103,-1
W3,1,Doctor,34,34,4,41,-1
W58,1,Doctor,35,31,2,243,-1
W343,1,Doctor,36,33,1,141,-1
W365,1,Doctor,37,38,4,70,-1
W215,1,Doctor,38,33,1,250,-1
W30,1,Doctor,39,36,3,238,-1
W381,1,Doctor,40,39,3,95,-1
W316,1,Doctor,41,36,2,66,-1
W282,1,Doctor,42,40,4,271,-1
W467,1,Doctor,43,36,2,43,-1
W144,1,Doctor,44,39,2,170,-1
W90,1,Doctor,45,35,1,254,-1
W146,1,Doctor,46,39,1,35,-1
W50,1,Doctor,47,47,5,270,-1
W251,1,Doctor,48,45,3,142,-1
W371,1,Doctor,49,44,1,139,-1
W89,1,Doctor,50,48,2,110,-1
W98,1,Doctor,51,44,1,4,-1
