id,Run,Type,Common ranking,"SIGS Match, P (D Proposing)","SIGS Match, P Prime (D Proposing)","GS Match, P (D Proposing)","GS Match, P Prime (D Proposing)"
W306,1,Doctor,1,0,0,10,-1
W319,1,Doctor,2,1,1,28,-1
W490,1,Doctor,3,1,1,4,4
W47,1,Doctor,4,2,2,40,-1
W248,1,Doctor,5,1,1,22,-1
W430,1,Doctor,6,2,2,35,-1
W376,1,Doctor,7,4,4,5,5
W413,1,Doctor,8,4,4,20,-1
W375,1,Doctor,9,1,1,27,-1
W283,1,Doctor,10,4,4,67,-1
W374,1,Doctor,11,4,4,70,-1
W487,1,Doctor,12,2,2,2,2
W304,1,Doctor,13,1,1,30,-1
W425,1,Doctor,14,2,2,2,2
W302,1,Doctor,15,3,3,22,-1
W326,1,Doctor,16,5,5,9,-1
W410,1,Doctor,17,2,2,36,-1
W243,1,Doctor,18,2,2,32,-1
W346,1,Doctor,19,2,2,13,-1
W161,1,Doctor,20,1,1,42,-1
W336,1,Doctor,21,3,3,28,-1
W406,1,Doctor,22,2,2,3,3
W156,1,Doctor,23,2,2,61,-1
W185,1,Doctor,24,1,1,3,3
W286,1,Doctor,25,1,1,55,-1
W6,1,Doctor,26,1,1,1,1
W111,1,Doctor,27,2,2,7,-1
W32,1,Doctor,28,3,3,28,-1
W328,1,Doctor,29,1,1,2,2
W334,1,Doctor,30,1,1,7,-1
W451,1,Doctor,31,1,1,14,-1
W104,1,Doctor,32,1,1,7,-1
W135,1,Doctor,33,2,2,8,-1
W472,1,Doctor,34,1,1,8,-1
W72,1,Doctor,35,2,2,4,4
W178,1,Doctor,36,3,3,5,5
W390,1,Doctor,37,2,2,10,-1
W277,1,Doctor,38,3,3,5,5
W421,1,Doctor,39,1,1,15,-1
W50,1,Doctor,40,1,1,29,-1
W204,1,Doctor,41,2,2,10,-1
W21,1,Doctor,42,1,1,10,-1
W351,1,Doctor,43,1,1,2,2
W270,1,Doctor,44,1,1,20,-1
W216,1,Doctor,45,2,2,10,-1
W432,1,Doctor,46,3,3,3,3
W394,1,Doctor,47,1,1,52,-1
W203,1,Doctor,48,2,2,52,-1
W225,1,Doctor,49,2,2,38,-1
W23,1,Doctor,50,5,5,36,-1
W462,1,Doctor,51,1,1,20,-1
W436,1,Doctor,52,0,0,49,-1
W46,1,Doctor,53,3,3,17,-1
W62,1,Doctor,54,2,2,29,-1
W103,1,Doctor,55,5,5,11,-1
W353,1,Doctor,56,1,1,31,-1
W378,1,Doctor,57,2,2,39,-1
W43,1,Doctor,58,2,2,30,-1
W341,1,Doctor,59,2,2,9,-1
W297,1,Doctor,60,2,2,10,-1
W85,1,Doctor,61,2,2,25,-1
W365,1,Doctor,62,1,1,53,-1
W412,1,Doctor,63,1,1,42,-1
W227,1,Doctor,64,4,4,33,-1
W498,1,Doctor,65,1,1,20,-1
W285,1,Doctor,66,0,0,16,-1
W382,1,Doctor,67,4,3,9,-1
W303,1,Doctor,68,2,2,14,-1
W81,1,Doctor,69,1,1,21,-1
