id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W140,1,Doctor,1,H79,12,3,H79,12,3,H461,5,-1,H461,5,-1,H79,12,3,H79,12,3,0,0,0,0,0,0
W423,1,Doctor,2,H424,23,2,H424,23,2,H377,6,-1,H377,6,-1,H424,23,2,H424,23,2,0,0,0,0,0,0
W326,1,Doctor,3,H495,63,8,H495,63,8,H482,3,1,H482,3,1,H269,25,4,H269,25,4,0,0,0,0,0,0
W350,1,Doctor,4,H98,8,2,H98,8,2,H374,4,1,H374,4,1,H98,8,2,H98,8,2,0,0,0,0,0,0
W2,1,Doctor,5,H262,25,3,H262,25,3,H34,5,1,H34,5,1,H473,16,2,H473,16,2,0,0,0,0,0,0
W321,1,Doctor,6,H8,77,8,H8,77,8,H230,7,-1,H230,7,-1,H4,59,4,H4,59,4,0,0,0,0,0,0
W413,1,Doctor,7,H289,121,-1,H289,121,-1,H475,9,-1,H475,9,-1,Unmatched,0,0,Unmatched,0,0,51,50,0,0,0,0
W36,1,Doctor,8,H372,56,5,H372,56,5,Unmatched,0,0,Unmatched,0,0,H372,56,5,H372,56,5,0,0,346,346,0,0
W451,1,Doctor,9,H138,12,3,H138,12,3,H362,6,-1,H362,6,-1,H138,12,3,H138,12,3,0,0,0,0,0,0
W204,1,Doctor,10,H180,160,-1,H180,160,-1,H218,9,-1,H218,9,-1,Unmatched,0,0,Unmatched,0,0,54,53,0,0,0,0
W331,1,Doctor,11,H41,23,1,H41,23,1,Unmatched,0,0,Unmatched,0,0,H41,23,1,H41,23,1,0,0,339,339,0,0
