id,Run,Type,Common ranking,Match GS D,"GS Match, P (D Prop)","GS Match, P Prime (D Prop)",Match GS H,"GS Match, P (H Prop)","GS Match, P Prime (H Prop)",Match GS Trunc D,"GS Truncated Match, P (D Prop)","GS Truncated Match, P Prime (D Prop)",Match GS Trunc H,"GS Truncated Match, P (H Prop)","GS Truncated Match, P Prime (H Prop)",Match TAGS P D,"TAGS, P (D Prop)","TAGS, P Prime(D Prop)",Match TAGS P H,"TAGS, P (H Prop)","TAGS, P Prime(H Prop)",blocking pairs TAGS (D Prop),blocking pairs TAGS (H Prop),blocking pairs Trunc. GS (H Prop),blocking pairs Trunc. GS (D Prop),blocking pairs GS (D Prop),blocking pairs GS (H Prop)
W459,1,Doctor,1,H293,18,1,H293,18,1,Unmatched,0,0,Unmatched,0,0,H293,18,1,H293,18,1,0,0,224,224,0,0
W387,1,Doctor,2,H149,136,3,H149,136,3,Unmatched,0,0,Unmatched,0,0,H149,136,3,H149,136,3,0,0,214,214,0,0
W80,1,Doctor,3,H41,284,3,H41,284,3,H104,2,-1,H104,2,-1,H41,284,3,H41,284,3,5,5,0,0,0,0
W340,1,Doctor,4,H84,49,1,H84,49,1,H11,3,-1,H11,3,-1,H84,49,1,H84,49,1,1,1,0,0,0,0
W85,1,Doctor,5,H104,170,3,H104,170,3,Unmatched,0,0,Unmatched,0,0,H104,170,3,H104,170,3,3,3,214,214,0,0
W30,1,Doctor,6,H400,91,3,H400,91,3,H37,1,-1,H37,1,-1,H394,65,2,H394,65,2,0,0,0,0,0,0
W111,1,Doctor,7,H5,107,2,H5,107,2,H284,1,-1,H284,1,-1,H5,107,2,H5,107,2,1,1,0,0,0,0
W498,1,Doctor,8,H298,83,2,H298,83,2,H208,3,-1,H208,3,-1,H298,83,2,H298,83,2,2,2,0,0,0,0
W490,1,Doctor,9,H369,273,4,H369,273,4,H355,1,-1,H355,1,-1,H450,33,1,H450,33,1,1,1,0,0,0,0
W124,1,Doctor,10,H278,5,1,H278,5,1,H26,4,-1,H26,4,-1,H278,5,1,H278,5,1,0,0,0,0,0,0
W5,1,Doctor,11,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,Unmatched,0,0,12,12,196,196,0,0
W345,1,Doctor,12,H455,200,2,H455,200,2,H237,3,-1,H237,3,-1,H455,200,2,H455,200,2,2,2,0,0,0,0
W193,1,Doctor,13,H346,64,2,H346,64,2,H36,5,-1,H36,5,-1,H346,64,2,H346,64,2,1,1,0,0,0,0
W162,1,Doctor,14,H142,427,3,H142,427,3,Unmatched,0,0,Unmatched,0,0,H142,427,3,H142,427,3,9,9,205,205,0,0
W472,1,Doctor,15,H198,282,3,H198,282,3,H470,3,-1,H470,3,-1,H198,282,3,H198,282,3,5,5,0,0,0,0
W496,1,Doctor,16,H306,9,1,H306,9,1,H324,1,-1,H324,1,-1,H306,9,1,H306,9,1,0,0,0,0,0,0
W544,1,Doctor,17,H307,140,5,H307,140,5,Unmatched,0,0,Unmatched,0,0,H307,140,5,H307,140,5,3,3,201,201,0,0
W572,1,Doctor,18,H157,406,3,H157,406,3,Unmatched,0,0,Unmatched,0,0,H157,406,3,H157,406,3,9,9,198,198,0,0
W177,1,Doctor,19,H417,149,3,H417,149,3,H361,4,-1,H361,4,-1,H417,149,3,H417,149,3,2,2,0,0,0,0
W154,1,Doctor,20,H207,122,4,H207,122,4,Unmatched,0,0,Unmatched,0,0,H207,122,4,H207,122,4,0,0,208,208,0,0
